time,beta,temp
258,0.733505286,19.11
259,0.73232574,21.95
260,0.731067747,22.27
261,0.729721487,25.56
262,0.728279471,25.92
263,0.726736099,25.1
264,0.725087747,24.06
265,0.7233328,24.48
266,0.7214716,23.75
267,0.719506137,22.29
268,0.71744024,22.33
269,0.715278976,22.47
270,0.713029146,23.16
271,0.710698493,24.05
272,0.708296396,24.41
273,0.705832906,23.56
274,0.703319304,24.45
275,0.700767644,21.59
276,0.698191069,16.77
277,0.695602782,17.38
278,0.693017386,19.65
279,0.690449208,20.81
280,0.687913187,24.45
281,0.685424305,24.97
282,0.682997897,22.71
283,0.680648834,20.54
284,0.678391807,21.4
285,0.676241323,22.46
286,0.674211264,24.79
287,0.672314785,23.37
288,0.670564979,20.79
289,0.668973401,16.01
290,0.667551264,17.32
291,0.666309021,18.86
292,0.665256254,20.1
293,0.664401658,21.13
294,0.663753379,22.77
295,0.663318802,25.36
296,0.663104359,27.91
297,0.66311644,23.79
298,0.663360391,21.44
299,0.663841724,22.84
300,0.664564997,24.96
301,0.665534828,23.41
302,0.666755699,19.61
303,0.668231834,19.23
304,0.669967428,20.1
305,0.671966743,20.89
306,0.674234226,21.65
307,0.676774289,22.24
308,0.679591551,23.13
309,0.682691082,23.71
310,0.686077975,22.86
311,0.689757988,21.89
312,0.69373716,20.84
313,0.69802196,21.19
314,0.702619504,22
315,0.707537461,21.78
316,0.712784387,21.3
317,0.718369588,19.25
318,0.724303842,19.68
319,0.730598353,20.96
320,0.737266779,21.26
321,0.744323798,21.47
322,0.751786321,22.25
323,0.759673901,23.38
324,0.768008381,23.82
325,0.776814796,23.78
326,0.786122069,26.26
327,0.795962177,26.56
328,0.806371905,26.11
329,0.817391396,26.98
330,0.829066068,26.36
331,0.841445491,23.52
332,0.854582772,21.86
333,0.868535258,22.06
334,0.883363426,23.85
335,0.899128869,22.46
336,0.915895358,23.42
337,0.933725089,23.14
338,0.952679053,20.92
339,0.972814083,21.83
340,0.994181581,26.7
341,1.016825624,21.96
342,1.040781274,16.54
343,1.066072233,17.31
344,1.092708938,18.73
345,1.120686844,22.14
346,1.149983346,20.1
347,1.180554077,12.56
348,1.212330401,9.99
349,1.24521336,8.69
350,1.27906923,12.41
351,1.313724115,14.39
352,1.348958597,12.05
353,1.384505332,15.34
354,1.420047432,16.12
355,1.455221623,18.22
356,1.489622861,22.24
357,1.522814274,17.89
358,1.554338694,14.54
359,1.583732754,15.72
360,1.610543296,16.96
361,1.634343609,18.66
362,1.654753715,19.8
363,1.671459258,20.75
364,1.684232935,20.51
365,1.69295536,20.08
366,1.697634652,17.11
367,1.698420361,17.42
368,1.695609182,17.82
369,1.689638928,11.4
370,1.681066051,6.57
371,1.670528695,9.22
372,1.658696875,12.22
373,1.646219179,14.08
374,1.633672968,12.85
375,1.621529102,12.27
376,1.610134348,9.73
377,1.599711135,8.33
378,1.59037219,9.41
379,1.582141235,12.1
380,1.574978665,12.24
381,1.568801761,11.84
382,1.5635048,12.7
383,1.558971226,13.37
384,1.555084035,10.31
385,1.551731914,9.8
386,1.548812106,13.39
387,1.546232194,11.1
388,1.543911293,10.9
389,1.541778624,13.04
390,1.539773419,14.43
391,1.537843987,15.22
392,1.535946444,12.91
393,1.534043759,17.74
394,1.532104865,11.74
395,1.530103609,7.11
396,1.528018147,7.6
397,1.525830328,4.27
398,1.523524389,1.07
399,1.521087289,6
400,1.518507734,11.6
401,1.515775785,10.72
402,1.512882888,8.78
403,1.509820744,7.15
404,1.50658223,4.39
405,1.503160015,7.01
406,1.499547705,5.98
407,1.495738044,8.49
408,1.491724864,0.07
409,1.487500995,-4.97
410,1.483059809,-5.09
411,1.478394553,-6.5
412,1.473497793,-5.23
413,1.468362436,-5.49
414,1.462981299,-8.76
415,1.457347021,-9.51
416,1.451452181,-4.36
417,1.44528918,-5.45
418,1.438850537,-5.52
419,1.432128742,4.34
420,1.425116256,9.49
421,1.417805195,0.06
422,1.410188213,-3.99
423,1.402257666,-2.27
424,1.394006178,-7.27
425,1.385426,-3.75
426,1.376509488,4.4
427,1.36724928,-1.28
428,1.357637912,-9.14
429,1.347667679,-6.45
430,1.337331563,-2.24
431,1.326622128,-2.55
432,1.315532461,0.43
433,1.304055825,0.66
434,1.292186186,-0.43
435,1.279918298,1.87
436,1.26724793,-1.3
437,1.25417228,-1.94
438,1.240690261,-1.04
439,1.226803675,0.94
440,1.212517604,6.12
441,1.197840571,9.8
442,1.18278639,8.97
443,1.167374134,-0.05
444,1.151629701,-5.78
445,1.135586321,-4.82
446,1.119285434,-2.65
447,1.102776453,-0.57
448,1.086118028,1.75
449,1.069376476,3.43
450,1.052626014,3.04
451,1.035946459,1.09
452,1.019422643,1.15
453,1.003141366,2.87
454,0.987189263,-0.24
455,0.971650071,-5.67
456,0.956602365,-5.85
457,0.942117535,-13.62
458,0.92825745,-14.63
459,0.915073074,-6.47
460,0.90260385,-4.06
461,0.890876502,-1.95
462,0.879904985,-9.39
463,0.869690754,-15.71
464,0.86022339,-14.33
465,0.851480506,-17.7
466,0.843430065,-16.41
467,0.836031079,-13.67
468,0.829236455,-13.49
469,0.822995216,-7.11
470,0.817254998,-10.43
471,0.811964981,-15.9
472,0.807079203,-8.2
473,0.802557677,-4.33
474,0.798368365,-1.2
475,0.794488013,3.8
476,0.790902369,2.66
477,0.787605725,0.49
478,0.784599647,2.04
479,0.781891957,1.01
480,0.779495336,-1.48
481,0.777425259,-1.18
482,0.77569934,1.64
483,0.774335191,1.94
484,0.773349427,0.35
485,0.772756636,1.87
486,0.772567846,1.29
487,0.772790365,2.31
488,0.773426332,-3.74
489,0.774472333,-1.04
490,0.775919177,-3.14
491,0.777751453,-15.84
492,0.779947296,-12.38
493,0.782479212,-10.09
494,0.785313636,-18.6
495,0.788412593,-7.45
496,0.791733354,-0.01
497,0.795230582,2.13
498,0.798856854,-2.45
499,0.802563936,-3.34
500,0.806304112,-1.9
501,0.810031265,-11.4
502,0.813702099,-7.25
503,0.817276269,-6.94
