Day,Beta
350,0.844360743
351,0.852113806
352,0.86196918
353,0.874113008
354,0.888732322
355,0.905982383
356,0.925934978
357,0.948516585
358,0.97345411
359,1.000255585
360,1.028243683
361,1.056639887
362,1.084674932
363,1.111688934
364,1.137197271
365,1.160911784
366,1.182728201
367,1.202688813
368,1.220938087
369,1.237679884
370,1.253141582
371,1.26754792
372,1.281104997
373,1.293991879
374,1.306358039
375,1.318324879
376,1.32999146
377,1.341437101
378,1.352728024
379,1.363919958
380,1.375060037
381,1.386186585
382,1.397328004
383,1.408500403
384,1.419702828
385,1.430917248
386,1.442104489
387,1.453205392
388,1.464142621
389,1.474823385
390,1.485145167
391,1.495000765
392,1.504283994
393,1.512894392
394,1.520741507
395,1.52774854
396,1.533851638
397,1.539002672
398,1.543166786
399,1.546322331
400,1.548458219
401,1.549573287
402,1.549673542
403,1.548771769
404,1.546885803
405,1.544037446
406,1.540252015
407,1.53555797
408,1.52998656
409,1.523571476
410,1.5163486
411,1.508356243
412,1.499634832
413,1.490226105
414,1.480174378
415,1.469524264
416,1.458322808
417,1.446616307
418,1.434452131
419,1.421877712
420,1.408939958
421,1.395684808
422,1.38215749
423,1.368401155
424,1.354458526
425,1.340369344
426,1.326172084
427,1.31190303
428,1.297597051
429,1.283285961
430,1.269001082
431,1.254770562
432,1.240621626
433,1.22657989
434,1.212669879
435,1.1989142
436,1.185334921
437,1.171953276
438,1.158789471
439,1.14586316
440,1.133193359
441,1.120798618
442,1.108696789
443,1.096905552
444,1.085441321
445,1.074320741
446,1.063558705
447,1.053169854
448,1.043167561
449,1.033563726
450,1.024369322
451,1.015593357
452,1.007243879
453,0.9993264
454,0.991845392
455,0.984802917
456,0.978199624
457,0.972034164
458,0.966303572
459,0.961002789
460,0.956125855
461,0.951664701
462,0.947610192
463,0.943951428
464,0.940677039
465,0.937773503
466,0.935226649
467,0.933021337
468,0.931140788
469,0.929567084
470,0.928281143
471,0.927262448
472,0.926488899
473,0.925936922
474,0.925581038
475,0.925394669
476,0.925349317
477,0.925415419
478,0.925562546
479,0.92576021
480,0.925978474
481,0.926189311
482,0.926367424
483,0.926491916
484,0.92654714
485,0.926523998
486,0.926420435
487,0.926241264
488,0.925998837
489,0.925712101
490,0.925404772
491,0.92510543
492,0.924846217
493,0.924659282
494,0.924578503
495,0.924637437
496,0.92486655
497,0.925295196
498,0.925949275
499,0.926851727
500,0.928020328
501,0.929469295
502,0.931206822
503,0.933236577
504,0.93555481
505,0.938152224
506,0.941011786
507,0.944110326
508,0.947416693
509,0.950894363
510,0.954499245
511,0.95818153
512,0.961888492
513,0.965563409
514,0.969148971
515,0.972589344
516,0.975831069
517,0.978826061
518,0.98153279
519,0.983918175
520,0.985956751
521,0.987631798
522,0.988934867
523,0.98986496
524,0.990426384
525,0.990628898
526,0.990486175
527,0.990013734
528,0.989229858
529,0.988152988
530,0.986803189
531,0.985199988
532,0.98336333
533,0.981313482
534,0.979070246
535,0.976652645
536,0.974079922
537,0.971370086
538,0.968540594
539,0.96560742
540,0.962585449
541,0.959488146
542,0.956327215
543,0.953113392
544,0.949855573
545,0.946561776
546,0.943238661
547,0.939891554
548,0.936525635
549,0.933145195
550,0.929753847
551,0.926355109
552,0.922952048
553,0.919547737
554,0.916145042
555,0.912746616
556,0.909355111
557,0.905972965
558,0.902602561
559,0.899246268
560,0.895906106
561,0.892584048
562,0.889282078
563,0.886002272
564,0.882746696
565,0.879517235
566,0.876316436
567,0.87314637
568,0.87000984
569,0.86690972
570,0.863848776
571,0.860830463
572,0.857858002
573,0.854934834
574,0.852064252
575,0.849249542
576,0.846493982
577,0.843800656
578,0.841172241
579,0.838611342
580,0.83612024
581,0.833700612
582,0.831354335
583,0.829082511
584,0.826886587
585,0.824767381
586,0.822725713
587,0.820762642
588,0.818878718
589,0.817075044
590,0.815352529
591,0.813712224
592,0.812155098
593,0.810682364
594,0.809295274
595,0.807994626
596,0.806781456
597,0.805656359
598,0.80461999
599,0.803672619
600,0.802814193
601,0.802044533
602,0.801363118
603,0.80076918
604,0.800261877
605,0.799840309
606,0.799503513
607,0.799250618
608,0.799080834
609,0.798993699
610,0.79898899
611,0.79906705
612,0.799228281
613,0.799473837
614,0.799805239
615,0.800224431
616,0.800733753
617,0.801336333
618,0.802035026
619,0.802833676
620,0.803736001
621,0.804745682
622,0.805866845
623,0.807103425
624,0.808459044
625,0.809937201
626,0.81154111
627,0.813273318
628,0.815136053
629,0.817130633
630,0.819258109
631,0.821518466
632,0.823910944
633,0.826434061
634,0.829085693
635,0.831862666
636,0.834760994
637,0.837776296
638,0.840903535
639,0.844136804
640,0.847470015
641,0.85089653
642,0.854409769
643,0.858002611
644,0.861668482
645,0.865400158
646,0.869191587
647,0.873036504
648,0.876929201
649,0.880864397
650,0.884837851
651,0.888845824
652,0.892885089
653,0.896953613
654,0.901050195
655,0.905174106
