Day,beta
350,1.182457003
351,1.202363469
352,1.222111951
353,1.241615252
354,1.260817279
355,1.279691176
356,1.298235601
357,1.316468748
358,1.334422339
359,1.352133556
360,1.369637695
361,1.386959152
362,1.404102553
363,1.421043732
364,1.437722531
365,1.454038555
366,1.469853206
367,1.484997132
368,1.499284983
369,1.51253348
370,1.5245805
371,1.535300894
372,1.544617079
373,1.552501754
374,1.55897561
375,1.564099637
376,1.567965995
377,1.570687587
378,1.572388551
379,1.57319601
380,1.573234179
381,1.572618994
382,1.57145588
383,1.569836812
384,1.567840858
385,1.565533356
386,1.562967615
387,1.560185389
388,1.557219072
389,1.554092537
390,1.550822995
391,1.547422387
392,1.543898279
393,1.540255221
394,1.536494992
395,1.532617775
396,1.528622042
397,1.524505713
398,1.520265677
399,1.515897957
400,1.511398131
401,1.50676167
402,1.501983155
403,1.497056961
404,1.49197702
405,1.486737154
406,1.48133046
407,1.475749796
408,1.469988184
409,1.464037548
410,1.457890261
411,1.451538227
412,1.444973122
413,1.438186559
414,1.431170073
415,1.423915267
416,1.416413665
417,1.408657074
418,1.400637637
419,1.392347596
420,1.383779526
421,1.374927163
422,1.365784439
423,1.356346369
424,1.346608942
425,1.336569223
426,1.326225996
427,1.315579436
428,1.304631558
429,1.293386232
430,1.281849709
431,1.27003052
432,1.257939718
433,1.24559099
434,1.233001037
435,1.220189257
436,1.207177769
437,1.193991889
438,1.180659641
439,1.167211283
440,1.153679989
441,1.140100403
442,1.126509363
443,1.112944874
444,1.099445852
445,1.086051475
446,1.072801303
447,1.059733835
448,1.046887013
449,1.034296957
450,1.021998156
451,1.010023047
452,0.998401712
453,0.987161647
454,0.976327446
455,0.965921234
456,0.955962398
457,0.946467855
458,0.937452002
459,0.928926939
460,0.920903043
461,0.913388702
462,0.90639084
463,0.899915343
464,0.893966832
465,0.888549062
466,0.883665334
467,0.879318373
468,0.875510243
469,0.872242863
470,0.869517538
471,0.867335211
472,0.865696295
473,0.864600723
