REGION,YEAR,WEEK,ILITOTAL
Indiana,2018,43,65
Indiana,2018,44,77
Indiana,2018,45,79
Indiana,2018,46,81
Indiana,2018,47,54
Indiana,2018,48,93
Indiana,2018,49,96
Indiana,2018,50,108
Indiana,2018,51,129
Indiana,2018,52,104
Indiana,2019,1,98
Indiana,2019,2,144
Indiana,2019,3,211
Indiana,2019,4,171
Indiana,2019,5,165
Indiana,2019,6,204
Indiana,2019,7,214
Indiana,2019,8,252
Indiana,2019,9,263
Indiana,2019,10,250
Indiana,2019,11,248
Indiana,2019,12,187
Indiana,2019,13,138
Indiana,2019,14,103
Indiana,2019,15,103
Indiana,2019,16,101
Indiana,2019,17,64
Indiana,2019,18,76
Indiana,2019,19,60
Indiana,2019,20,36
Indiana,2019,21,30
Indiana,2019,22,39
Indiana,2019,23,26
Indiana,2019,24,31
Indiana,2019,25,22
Indiana,2019,26,24
Indiana,2019,27,23
Indiana,2019,28,7
Indiana,2019,29,14
Indiana,2019,30,6
Indiana,2019,31,10
Indiana,2019,32,11
Indiana,2019,33,9
Indiana,2019,34,8
Indiana,2019,35,17
Indiana,2019,36,16
Indiana,2019,37,17
Indiana,2019,38,28
Indiana,2019,39,24
,2019,40,47
,2019,41,65
,2019,42,44
,2019,43,53
,2019,44,75
,2019,45,82
,2019,46,101
,2019,47,77
,2019,48,64
,2019,49,127
,2019,50,141
,2019,51,143
,2019,52,121
,2020,1,96
,2020,2,129
,2020,3,129
,2020,4,239
,2020,5,227
,2020,6,359
,2020,7,320
,2020,8,305
,2020,9,289
,2020,10,273
,2020,11,167
,2020,12,120
,2020,13,36
,2020,14,12
,2020,15,9
,2020,16,6
,2020,17,6
,2020,18,4
,2020,19,8
,2020,20,2
,2020,21,2
,2020,22,3
,2020,23,5
,2020,24,32
,2020,25,22
,2020,26,26
,2020,27,14
,2020,28,9
,2020,29,27
,2020,30,40
,2020,31,34
,2020,32,40
,2020,33,36
,2020,34,63
,2020,35,45
,2020,36,36
,2020,37,61
,2020,38,42
,2020,39,49
,2020,40,481
,2020,41,544
,2020,42,554
,2020,43,588
,2020,44,641
,2020,45,738
,2020,46,856
,2020,47,805
,2020,48,697
,2020,49,593
,2020,50,580
,2020,51,462
,2020,52,430
,2020,53,475
,2021,1,464
,2021,2,417
,2021,3,399
,2021,4,354
,2021,5,348
,2021,6,364
,2021,7,312
,2021,8,335
,2021,9,305
,2021,10,296
,2021,11,389
,2021,12,401
,2021,13,393
,2021,14,462
,2021,15,460
,2021,16,481
,2021,17,502
,2021,18,538
,2021,19,596
,2021,20,571
,2021,21,526
,2021,22,513
,2021,23,542
,2021,24,485
,2021,25,485
,2021,26,413
,2021,27,471
,2021,28,544
,2021,29,670
,2021,30,726
,2021,31,871
,2021,32,986
,2021,33,1180
,2021,34,1536
,2021,35,1284
,2021,36,1157
,2021,37,1010
,2021,38,852
,2021,39,736
,2021,40,779
,2021,41,720
,2021,42,669
,2021,43,679
,2021,44,795
,2021,45,945
,2021,46,1023
,2021,47,978
,2021,48,1325
,2021,49,1363
,2021,50,1492
,2021,51,1621
,2021,52,1849
,2022,1,1597
,2022,2,1482
,2022,3,1097
,2022,4,705
,2022,5,481
