temp,x
-22,1.16808045419652
-21.5,1.16877323040112
-21,1.16944031934166
-20.5,1.17007854311902
-20,1.17068471898869
-19.5,1.17125566018297
-19,1.17178817681951
-18.5,1.1722790768961
-18,1.17272516737179
-17.5,1.17312325533417
-17,1.17347014925257
-16.5,1.17376266031699
-16,1.17399760386217
-15.5,1.1741718008766
-15,1.1742820795955
-14.5,1.17432527717735
-14,1.17429824146296
-13.5,1.17419783281617
-13,1.17402092604502
-12.5,1.17376441240218
-12,1.17342520166324
-11.5,1.17300022428128
-11,1.17248643361611
-10.5,1.17188080823624
-10,1.17118035429151
-9.5,1.17038210795438
-9,1.16948313792731
-8.5,1.16848054801381
-8,1.16737147975044
-7.5,1.16615311509674
-7,1.16482267918028
-6.5,1.16337744309317
-6,1.16181472673699
-5.5,1.16013190171218
-5,1.15832639424827
-4.5,1.15639568817079
-4,1.15433732790074
-3.5,1.15214892148224
-3,1.14982814363371
-2.5,1.14737273881791
-2,1.14478052432585
-1.5,1.14204939336948
-1,1.1391773181779
-0.5,1.13616235309163
0,1.13300263764931
0.5,1.12969639966115
1,1.12624195826318
1.5,1.12263772694618
2,1.11888221655335
2.5,1.11497403824014
3,1.11091190639012
3.5,1.10669464148017
4,1.10232117288853
4.5,1.09779054163905
5,1.09310190307482
5.5,1.08825470898935
6,1.08325173548764
6.5,1.0780985776163
7,1.07280092133172
7.5,1.06736444483746
8,1.06179481246501
8.5,1.05609766877068
9,1.05027863285236
9.5,1.04434329288881
10,1.03829720090403
10.5,1.03214586775818
11,1.02589475836636
11.5,1.01954928714581
12,1.01311481369153
12.5,1.00659663867999
13,1
13.5,0.993330069109332
14,0.98659194761543
14.5,0.979790664077884
15,0.972931171030197
15.5,0.966018342217874
16,0.959056970049582
16.5,0.952051763257816
17,0.945007344765206
17.5,0.93792824975235
18,0.930818923922813
18.5,0.923683721960708
19,0.916526906176092
19.5,0.909352664320339
20,0.902165221785729
20.5,0.894968760393122
21,0.887767359495561
21.5,0.880564995265226
22,0.873365540378477
22.5,0.866172763867906
23,0.858990331134975
23.5,0.851821804116771
24,0.844670641600393
24.5,0.83754019967854
25,0.830433732339838
25.5,0.823354392187543
26,0.816305231280267
26.5,0.809289202088485
27,0.802309158560632
