temp,x
-25,1.13618841775272
-24,1.14110837741796
-23,1.14598663727965
-22,1.15078452108376
-21,1.15546273172935
-20,1.1599813849902
-19,1.16430005681253
-18,1.16837784448277
-17,1.17217344190744
-16,1.17564522918268
-15,1.17875137655198
-14,1.18144996275867
-13,1.18369910769371
-12,1.18545711912008
-11,1.18668265312302
-10,1.1873348877915
-9,1.18737370948063
-8,1.18675991084013
-7,1.18545539962023
-6,1.18342341708654
-5,1.18062876469118
-4,1.17703803746112
-3,1.17261986237904
-2,1.16734513985011
-1,1.16118728617311
0,1.15412247476944
1,1.14612987377263
2,1.1371918774478
3,1.1272943287982
4,1.1164267306293
5,1.10458244228239
6,1.09176770935703
7,1.07806192686225
8,1.06357718413327
9,1.04842344629626
10,1.03270769814329
11,1.01653339363374
12,1
13,0.983202633074678
14,0.966231779474281
15,0.949173100502578
16,0.932107312066073
17,0.915110134509207
18,0.898252306062224
19,0.881599653532299
20,0.865206014262745
21,0.849083774005441
22,0.833232109208592
23,0.817650005993866
24,0.802336277211964
25,0.78728957151963
26,0.772508382265404
27,0.757991056177826
28,0.743735801850591
29,0.729740698019937
30,0.716003701630283
31,0.702522655684816
