,Avg,
2013/7/11,71.6,22
2013/7/12,70.6,21.44444444
2013/7/13,75.6,24.22222222
2013/7/14,81,27.22222222
2013/7/15,83.2,28.44444444
2013/7/16,83.7,28.72222222
2013/7/17,85,29.44444444
2013/7/18,84.4,29.11111111
2013/7/19,82.6,28.11111111
2013/7/20,74.9,23.83333333
2013/7/21,76.9,24.94444444
2013/7/22,72.7,22.61111111
2013/7/23,74.8,23.77777778
2013/7/24,69.5,20.83333333
2013/7/25,68,20
2013/7/26,71.1,21.72222222
2013/7/27,68.8,20.44444444
2013/7/28,65.6,18.66666667
2013/7/29,67.6,19.77777778
2013/7/30,70.3,21.27777778
2013/7/31,71,21.66666667
2013/8/1,71.8,22.11111111
2013/8/2,71.5,21.94444444
2013/8/3,71.4,21.88888889
2013/8/4,68.9,20.5
2013/8/5,67.3,19.61111111
2013/8/6,73.9,23.27777778
2013/8/7,76.2,24.55555556
2013/8/8,74.7,23.72222222
2013/8/9,72.4,22.44444444
2013/8/10,75.4,24.11111111
2013/8/11,75,23.88888889
2013/8/12,75,23.88888889
2013/8/13,70.9,21.61111111
2013/8/14,61.7,16.5
2013/8/15,64.6,18.11111111
2013/8/16,68.6,20.33333333
2013/8/17,71.7,22.05555556
2013/8/18,70.4,21.33333333
2013/8/19,72.6,22.55555556
2013/8/20,74.9,23.83333333
2013/8/21,74.4,23.55555556
2013/8/22,73.9,23.27777778
2013/8/23,74.6,23.66666667
2013/8/24,73.7,23.16666667
2013/8/25,74.6,23.66666667
2013/8/26,77.5,25.27777778
2013/8/27,79.5,26.38888889
2013/8/28,81.3,27.38888889
2013/8/29,76.7,24.83333333
2013/8/30,78.5,25.83333333
2013/8/31,76.3,24.61111111
2013/9/1,77.8,25.44444444
2013/9/2,76.7,24.83333333
2013/9/3,64.2,17.88888889
2013/9/4,68.3,20.16666667
2013/9/5,69.1,20.61111111
2013/9/6,64.6,18.11111111
2013/9/7,69.9,21.05555556
2013/9/8,75.4,24.11111111
2013/9/9,77.5,25.27777778
2013/9/10,84,28.88888889
2013/9/11,79.9,26.61111111
2013/9/12,71.8,22.11111111
2013/9/13,59.7,15.38888889
2013/9/14,57.4,14.11111111
2013/9/15,62.3,16.83333333
2013/9/16,63,17.22222222
2013/9/17,61.3,16.27777778
2013/9/18,66,18.88888889
2013/9/19,68.4,20.22222222
2013/9/20,72.9,22.72222222
2013/9/21,67.2,19.55555556
2013/9/22,57.6,14.22222222
2013/9/23,55.3,12.94444444
2013/9/24,56.6,13.66666667
2013/9/25,60.5,15.83333333
2013/9/26,65.4,18.55555556
2013/9/27,64.3,17.94444444
2013/9/28,66.8,19.33333333
2013/9/29,66.1,18.94444444
2013/9/30,66.2,19
2013/10/1,68.4,20.22222222
2013/10/2,69.2,20.66666667
2013/10/3,71.7,22.05555556
2013/10/4,71.6,22
2013/10/5,73,22.77777778
2013/10/6,67.8,19.88888889
2013/10/7,54.3,12.38888889
2013/10/8,55.4,13
2013/10/9,58.2,14.55555556
2013/10/10,59.8,15.44444444
2013/10/11,63.5,17.5
2013/10/12,64.8,18.22222222
2013/10/13,63.8,17.66666667
2013/10/14,60,15.55555556
2013/10/15,61,16.11111111
2013/10/16,64.3,17.94444444
2013/10/17,51.3,10.72222222
2013/10/18,53,11.66666667
2013/10/19,47.3,8.5
2013/10/20,49.1,9.5
2013/10/21,55.4,13
2013/10/22,45,7.222222222
2013/10/23,40,4.444444444
2013/10/24,39.6,4.222222222
2013/10/25,39.7,4.277777778
2013/10/26,41.2,5.111111111
2013/10/27,43.3,6.277777778
2013/10/28,46,7.777777778
2013/10/29,49.2,9.555555556
2013/10/30,58.6,14.77777778
2013/10/31,63.1,17.27777778
2013/11/1,56.9,13.83333333
2013/11/2,49.2,9.555555556
2013/11/3,45.4,7.444444444
2013/11/4,46,7.777777778
2013/11/5,54.7,12.61111111
2013/11/6,58.8,14.88888889
2013/11/7,45.4,7.444444444
2013/11/8,39.8,4.333333333
2013/11/9,48.6,9.222222222
2013/11/10,44.2,6.777777778
2013/11/11,41.6,5.333333333
2013/11/12,30.9,-0.611111111
2013/11/13,31,-0.555555556
2013/11/14,39,3.888888889
2013/11/15,46.3,7.944444444
2013/11/16,53.8,12.11111111
2013/11/17,60,15.55555556
2013/11/18,46.4,8
2013/11/19,37.4,3
2013/11/20,38.7,3.722222222
2013/11/21,49,9.444444444
2013/11/22,48.8,9.333333333
2013/11/23,31.6,-0.222222222
2013/11/24,21.5,-5.833333333
2013/11/25,28.8,-1.777777778
2013/11/26,32.7,0.388888889
2013/11/27,28.5,-1.944444444
2013/11/28,26.6,-3
2013/11/29,30.5,-0.833333333
2013/11/30,34.8,1.555555556
2013/12/1,39.2,4
2013/12/2,40.3,4.611111111
2013/12/3,44.1,6.722222222
2013/12/4,55.4,13
2013/12/5,53.4,11.88888889
2013/12/6,31.2,-0.444444444
2013/12/7,24.7,-4.055555556
2013/12/8,26.6,-3
2013/12/9,32.3,0.166666667
2013/12/10,22,-5.555555556
2013/12/11,22.4,-5.333333333
2013/12/12,16.6,-8.555555556
2013/12/13,25.8,-3.444444444
2013/12/14,34.6,1.444444444
2013/12/15,27.2,-2.666666667
2013/12/16,24.2,-4.333333333
2013/12/17,29.2,-1.555555556
2013/12/18,28.1,-2.166666667
2013/12/19,40.6,4.777777778
2013/12/20,52.9,11.61111111
2013/12/21,60.5,15.83333333
2013/12/22,58.3,14.61111111
2013/12/23,35.8,2.111111111
2013/12/24,20.9,-6.166666667
2013/12/25,24.8,-4
2013/12/26,34.1,1.166666667
2013/12/27,37.6,3.111111111
2013/12/28,41.6,5.333333333
2013/12/29,40.4,4.666666667
2013/12/30,28.8,-1.777777778
2013/12/31,25.7,-3.5
2014/1/1,31.9,-0.055555556
2014/1/2,23.4,-4.777777778
2014/1/3,8.9,-12.83333333
2014/1/4,22.8,-5.111111111
2014/1/5,38.2,3.444444444
2014/1/6,8.5,-13.05555556
2014/1/7,0.7,-17.38888889
2014/1/8,18.4,-7.555555556
2014/1/9,29.2,-1.555555556
2014/1/10,38.2,3.444444444
2014/1/11,47.5,8.611111111
2014/1/12,36.5,2.5
2014/1/13,45.7,7.611111111
2014/1/14,40.8,4.888888889
2014/1/15,29,-1.666666667
2014/1/16,26.7,-2.944444444
2014/1/17,29.3,-1.5
2014/1/18,18.8,-7.333333333
2014/1/19,26.1,-3.277777778
2014/1/20,33.8,1
2014/1/21,19.4,-7
2014/1/22,8.2,-13.22222222
2014/1/23,9.4,-12.55555556
2014/1/24,6.2,-14.33333333
2014/1/25,22.3,-5.388888889
2014/1/26,17,-8.333333333
2014/1/27,15.9,-8.944444444
2014/1/28,-2.3,-19.05555556
2014/1/29,5.5,-14.72222222
2014/1/30,19.7,-6.833333333
2014/1/31,32.7,0.388888889
2014/2/1,39.7,4.277777778
2014/2/2,34.8,1.555555556
2014/2/3,26.8,-2.888888889
2014/2/4,26.3,-3.166666667
2014/2/5,28,-2.222222222
2014/2/6,18.3,-7.611111111
2014/2/7,6.8,-14
2014/2/8,14.9,-9.5
2014/2/9,24.1,-4.388888889
2014/2/10,13.8,-10.11111111
2014/2/11,8.3,-13.16666667
2014/2/12,15,-9.444444444
2014/2/13,27,-2.777777778
2014/2/14,28,-2.222222222
2014/2/15,21.4,-5.888888889
2014/2/16,22.6,-5.222222222
2014/2/17,24.5,-4.166666667
2014/2/18,39.6,4.222222222
2014/2/19,41,5
2014/2/20,45.7,7.611111111
2014/2/21,44.2,6.777777778
2014/2/22,43.2,6.222222222
2014/2/23,36,2.222222222
2014/2/24,27.6,-2.444444444
2014/2/25,25.7,-3.5
2014/2/26,19.6,-6.888888889
2014/2/27,18.8,-7.333333333
2014/2/28,18.8,-7.333333333
2014/3/1,37.3,2.944444444
2014/3/2,25.1,-3.833333333
2014/3/3,14.8,-9.555555556
2014/3/4,19.9,-6.722222222
2014/3/5,25.5,-3.611111111
2014/3/6,31.3,-0.388888889
2014/3/7,41.4,5.222222222
2014/3/8,38.9,3.833333333
2014/3/9,36.2,2.333333333
2014/3/10,46.6,8.111111111
2014/3/11,57.4,14.11111111
2014/3/12,38.1,3.388888889
2014/3/13,23.8,-4.555555556
2014/3/14,47.3,8.5
2014/3/15,45.3,7.388888889
2014/3/16,29,-1.666666667
2014/3/17,31.7,-0.166666667
2014/3/18,44.6,7
2014/3/19,48,8.888888889
2014/3/20,39.6,4.222222222
2014/3/21,49.5,9.722222222
2014/3/22,46.6,8.111111111
2014/3/23,32.4,0.222222222
2014/3/24,29.3,-1.5
2014/3/25,30.5,-0.833333333
2014/3/26,27,-2.777777778
2014/3/27,42.5,5.833333333
2014/3/28,53.9,12.16666667
2014/3/29,36.6,2.555555556
2014/3/30,38.5,3.611111111
2014/3/31,47.7,8.722222222
2014/4/1,61.9,16.61111111
2014/4/2,50.1,10.05555556
2014/4/3,50.4,10.22222222
2014/4/4,55.4,13
2014/4/5,41.7,5.388888889
2014/4/6,46.5,8.055555556
2014/4/7,53.1,11.72222222
2014/4/8,51.4,10.77777778
2014/4/9,52,11.11111111
2014/4/10,59.4,15.22222222
2014/4/11,60.4,15.77777778
2014/4/12,61.9,16.61111111
2014/4/13,72.5,22.5
2014/4/14,63.5,17.5
2014/4/15,36.4,2.444444444
2014/4/16,38.2,3.444444444
2014/4/17,53.7,12.05555556
2014/4/18,57.5,14.16666667
2014/4/19,56.8,13.77777778
2014/4/20,61.3,16.27777778
2014/4/21,65.9,18.83333333
2014/4/22,62.9,17.16666667
2014/4/23,48.8,9.333333333
2014/4/24,53.4,11.88888889
2014/4/25,55.4,13
2014/4/26,58.8,14.88888889
2014/4/27,54.9,12.72222222
2014/4/28,54.6,12.55555556
2014/4/29,64.2,17.88888889
2014/4/30,58.2,14.55555556
2014/5/1,54.1,12.27777778
2014/5/2,53.2,11.77777778
2014/5/3,58.3,14.61111111
2014/5/4,60.2,15.66666667
2014/5/5,51.2,10.66666667
2014/5/6,60.1,15.61111111
2014/5/7,71.3,21.83333333
2014/5/8,77.1,25.05555556
2014/5/9,72.3,22.38888889
2014/5/10,63.2,17.33333333
2014/5/11,65.2,18.44444444
2014/5/12,72,22.22222222
2014/5/13,78.9,26.05555556
2014/5/14,70.2,21.22222222
2014/5/15,60.2,15.66666667
2014/5/16,49.8,9.888888889
2014/5/17,49.9,9.944444444
2014/5/18,53.8,12.11111111
2014/5/19,59.3,15.16666667
2014/5/20,68.5,20.27777778
2014/5/21,70.2,21.22222222
2014/5/22,69.4,20.77777778
2014/5/23,63.4,17.44444444
2014/5/24,65.7,18.72222222
2014/5/25,70.6,21.44444444
2014/5/26,74.9,23.83333333
2014/5/27,79.7,26.5
2014/5/28,76.3,24.61111111
2014/5/29,72.7,22.61111111
2014/5/30,71.4,21.88888889
2014/5/31,74.6,23.66666667
2014/6/1,76.7,24.83333333
2014/6/2,76.2,24.55555556
2014/6/3,76.7,24.83333333
2014/6/4,68.6,20.33333333
2014/6/5,66.1,18.94444444
2014/6/6,68.5,20.27777778
2014/6/7,72.2,22.33333333
2014/6/8,68.3,20.16666667
2014/6/9,68,20
2014/6/10,68.1,20.05555556
2014/6/11,72,22.22222222
2014/6/12,71.8,22.11111111
2014/6/13,70.2,21.22222222
2014/6/14,66.1,18.94444444
2014/6/15,73.1,22.83333333
2014/6/16,78.9,26.05555556
2014/6/17,82.8,28.22222222
2014/6/18,80.3,26.83333333
2014/6/19,74.7,23.72222222
2014/6/20,75.8,24.33333333
2014/6/21,73,22.77777778
2014/6/22,74.6,23.66666667
2014/6/23,80.1,26.72222222
2014/6/24,75.8,24.33333333
2014/6/25,74.6,23.66666667
2014/6/26,76.4,24.66666667
2014/6/27,78.6,25.88888889
2014/6/28,77,25
2014/6/29,79.5,26.38888889
2014/6/30,79.3,26.27777778
2014/7/1,81,27.22222222
2014/7/2,75.7,24.27777778
2014/7/3,70,21.11111111
2014/7/4,68.2,20.11111111
2014/7/5,69.3,20.72222222
2014/7/6,71.8,22.11111111
2014/7/7,75.5,24.16666667
2014/7/8,76.6,24.77777778
2014/7/9,76.2,24.55555556
2014/7/10,74.1,23.38888889
2014/7/11,75.6,24.22222222
2014/7/12,78.6,25.88888889
2014/7/13,79.9,26.61111111
2014/7/14,74.5,23.61111111
