REGION,YEAR,WEEK,ILITOTAL
Ohio,2018,43,166
Ohio,2018,44,193
Ohio,2018,45,157
Ohio,2018,46,114
Ohio,2018,47,125
Ohio,2018,48,204
Ohio,2018,49,208
Ohio,2018,50,199
Ohio,2018,51,200
Ohio,2018,52,236
Ohio,2019,1,188
Ohio,2019,2,191
Ohio,2019,3,225
Ohio,2019,4,226
Ohio,2019,5,250
Ohio,2019,6,321
Ohio,2019,7,342
Ohio,2019,8,417
Ohio,2019,9,492
Ohio,2019,10,612
Ohio,2019,11,441
Ohio,2019,12,463
Ohio,2019,13,297
Ohio,2019,14,242
Ohio,2019,15,184
Ohio,2019,16,170
Ohio,2019,17,113
Ohio,2019,18,99
Ohio,2019,19,80
Ohio,2019,20,92
Ohio,2019,21,82
Ohio,2019,22,64
Ohio,2019,23,88
Ohio,2019,24,60
Ohio,2019,25,67
Ohio,2019,26,48
Ohio,2019,27,53
Ohio,2019,28,57
Ohio,2019,29,63
Ohio,2019,30,54
Ohio,2019,31,44
Ohio,2019,32,51
Ohio,2019,33,54
Ohio,2019,34,51
Ohio,2019,35,68
Ohio,2019,36,78
Ohio,2019,37,101
Ohio,2019,38,86
Ohio,2019,39,92
