number,,,temp,,,hum,,,temp,
,,time,Max,Avg,Min,Max,Avg,Min,Avg,
,,24,71,62,51,69,55.9,41,,
,,25,61,55.7,53,89,82.4,57,,
,,26,63,58.6,53,93,86.3,78,,
,,27,76,64.9,59,96,83.4,56,,
,,28,80,69.8,64,94,80.1,54,,
,,29,82,71.8,65,90,76.5,64,,
,,30,74,68.9,63,87,75.8,68,,
,,31,77,69.3,62,93,76.7,58,,
,6,1,68,63.7,56,88,75,62,,
,,2,66,58.8,52,75,60.5,43,,
,,3,72,62.4,48,89,61.2,42,,
,,4,67,62.4,57,94,82.5,69,,
,,5,71,64.8,59,93,81.5,57,,
,,6,71,62.8,53,89,68.3,51,,
,,7,71,61.1,53,90,70.2,47,,
,,8,74,65.1,54,87,70.2,51,,
,,9,73,65.8,63,94,82.3,63,,
,,10,79,66.4,60,97,82.6,56,,
,,11,86,77,68,81,71.5,57,,
,,12,91,77.3,67,85,68.7,52,,
,,13,83,73.7,63,75,54.9,36,,
,,14,76,69.1,64,94,75.2,57,,
,,15,81,72.2,65,93,78.5,62,,
,,16,87,77,68,90,58.8,28,,
,,17,90,78.6,64,84,48.8,27,,
,,18,85,75.9,64,73,52.7,33,,
,,19,84,75.8,67,81,64.5,42,,
,,20,89,79.8,69,76,60,45,,
,,21,90,81.3,77,79,69.8,57,,
,,22,92,83.9,77,77,62.9,52,,
,,23,81,74.6,67,91,78.6,60,,
,,24,79,73.6,70,91,83.5,68,,
,,25,88,79.7,72,91,75.1,51,,
,,26,92,82.5,75,85,65.7,38,,
,,27,87,78.6,69,84,63.8,37,,
,,28,87,79.3,72,68,46.5,29,,
,,29,77,71.8,68,81,61.4,48,,
,,30,80,71.2,63,75,52,32,,
,7,1,84,72.6,56,84,49.9,29,,
,,2,85,72.6,60,83,58.2,33,,
,,3,80,71.3,60,86,64.8,40,,
,,4,86,74.7,63,84,59.7,36,,
,,5,89,77.5,64,75,55.3,38,,
,,6,92,81.2,69,70,54.8,38,,
,,7,93,82.7,72,76,59.1,39,,
,,8,87,82.4,78,82,67.3,57,,
,,9,93,83.7,77,82,70.7,54,,
,,10,85,78.3,70,74,52,32,,
,,11,85,76.1,63,81,52.6,37,,
,,12,88,77,65,75,55.1,39,,
,,13,81,74.1,67,71,60,52,,
,,14,88,78.4,68,76,57.9,40,,
,,15,91,81.3,71,76,63.5,47,,
,,16,92,83.8,74,85,64.3,45,,
,,17,95,84.9,76,79,61.2,40,,
,,18,96,86.1,76,82,56.6,36,,
,,19,96,86,78,66,52.1,30,,
,,20,89,80.1,68,78,50.8,31,,
,,21,79,74.2,70,84,74.4,62,,
,,22,95,78,68,90,69.3,43,,
,,23,78,71.6,66,81,64.2,50,,
,,24,82,71.6,61,83,60.6,41,,
,,25,87,75.5,63,84,64.5,43,,
,,26,80,71.9,62,94,67.6,38,,
,,27,72,65,56,81,54.6,34,,
,,28,78,66.2,52,80,54,32,,
,,29,75,67.4,57,87,67.1,50,,
,,30,72,68.8,65,93,86,78,,
,,31,85,73,65,94,74.2,46,,
,8,1,88,76.8,65,90,61.7,30,,
,,2,82,74.1,68,81,66.3,48,,
,,3,80,73.7,65,73,52.5,36,,
,,4,82,73.2,60,83,56.9,39,,
,,5,84,74.9,66,87,75.6,58,,
,,6,91,76.7,70,91,77.8,48,,
,,7,82,75.8,70,90,66.5,49,,
,,8,82,73.5,64,78,62.9,45,,
,,9,83,74.9,68,84,62.2,39,,
,,10,84,73.9,62,84,57.6,41,,
,,11,87,76.6,65,81,60.1,40,,
,,12,85,73.8,66,90,70.6,38,,
,,13,80,70.2,61,84,59.9,38,,
,,14,76,68.2,57,83,53.8,37,,
,,15,72,66.2,62,78,63.6,51,,
,,16,79,69.1,58,84,58.7,38,,
,,17,82,72.3,59,83,55,36,,
,,18,83,72.4,61,78,59.2,39,,
,,19,87,74.4,63,84,65.2,43,,
,,20,91,80,69,76,60.1,42,,
,,21,93,82.2,72,81,60.5,39,,
,,22,82,77.2,74,82,71.3,60,,
,,23,89,78.7,70,90,74.1,52,,
,,24,94,82.4,72,87,63.9,41,,
,,25,96,84.2,74,72,57.4,36,,
,,26,98,85.8,73,84,58.4,34,,
,,27,98,87,77,74,54.7,39,,
,,28,98,85.5,74,71,52.2,30,,
,,29,95,84.5,73,79,61.9,43,,
,,30,103,87.5,74,85,60,26,,
,,31,93,82.4,71,87,60.1,33,,
,9,1,85,75.8,66,87,64.8,36,,
,,2,81,69.2,58,90,60.4,34,,
,,3,82,69,55,89,62.6,37,,
,,4,91,78,63,75,52.4,32,,
,,5,91,81,71,78,56.9,38,,
,,6,92,80.1,68,81,53.2,30,,
,,7,95,83.1,74,71,57.1,40,,
,,8,91,80.7,73,87,71.6,52,,
,,9,101,86.1,73,87,51.4,25,,
,,10,99,86.1,74,64,46.5,30,,
,,11,89,79.7,74,76,62.5,46,,
,,12,80,72.3,63,75,46.8,26,,
,,13,76,64.8,56,69,50.3,31,,
,,14,78,65.6,50,74,45.3,27,,
,,15,71,66.8,60,90,69.5,44,,
,,16,64,60,55,89,75.5,63,,
,,17,68,60.5,55,93,89,75,,
,,18,91,76.2,67,90,72.9,46,,
,,19,87,71.1,64,93,81.6,55,,
,,20,70,62.3,54,80,63.3,47,,
,,21,74,60.5,48,83,57.5,31,,
,,22,79,65.8,53,74,56.9,39,,
,,23,77,65.5,54,80,58.7,37,,
,,24,73,65.5,58,75,66.1,57,,
,,25,80,67.8,56,84,65.2,47,,
,,26,85,72.8,61,86,65.4,43,,
,,27,87,75.7,67,81,61.9,40,,
,,28,70,63.3,55,90,80.3,58,,
,,29,75,60.9,48,83,60.3,32,,
1,,30,77,64.1,51,89,64.6,36,17.83333333,2013
2,10,1,83,70.4,58,87,59.4,38,21.33333333,2013
3,,2,85,73.3,63,87,57.7,45,22.94444444,2013
4,,3,78,71.9,67,93,77.6,54,22.16666667,2013
5,,4,79,68.6,64,94,86,66,20.33333333,2013
6,,5,67,55.2,49,72,56.4,42,12.88888889,2013
7,,6,51,48.5,44,93,80.3,61,9.166666667,2013
8,,7,74,58.3,45,80,58.6,29,14.61111111,2013
9,,8,77,63.5,51,77,54.5,30,17.5,2013
10,,9,76,62.9,52,83,60,37,17.16666667,2013
11,,10,78,64.1,51,80,59.5,33,17.83333333,2013
12,,11,74,66.4,58,84,73.3,58,19.11111111,2013
13,,12,67,58.2,50,74,50.2,27,14.55555556,2013
14,,13,67,53.9,41,74,51.7,28,12.16666667,2013
15,,14,66,57.9,46,87,53,35,14.38888889,2013
16,,15,61,52.6,48,94,76.1,63,11.44444444,2013
17,,16,52,47.9,42,85,75.9,66,8.833333333,2013
18,,17,63,49.9,39,89,66.4,34,9.944444444,2013
19,,18,51,44.6,39,86,64.6,41,7,2013
20,,19,59,47.4,36,86,56.9,27,8.555555556,2013
21,,20,62,50.6,42,76,61.6,44,10.33333333,2013
22,,21,51,43.6,37,73,58,38,6.444444444,2013
23,,22,45,41.3,37,86,76.4,62,5.166666667,2013
24,,23,43,38.2,33,93,80.1,57,3.444444444,2013
25,,24,46,38.1,32,85,65.8,51,3.388888889,2013
26,,25,57,44,28,85,54.9,34,6.666666667,2013
27,,26,53,46.6,37,68,50.3,35,8.111111111,2013
28,,27,64,45.8,29,82,56.7,30,7.666666667,2013
29,,28,56,46,38,79,64,47,7.777777778,2013
30,,29,57,50.1,41,90,75,62,10.05555556,2013
31,,30,63,56.8,53,97,92.9,86,13.77777778,2013
32,,31,53,46.9,43,96,82.8,74,8.277777778,2013
33,11,1,57,48.4,42,79,66.6,49,9.111111111,2013
34,,2,54,47.4,39,79,64.2,40,8.555555556,2013
35,,3,58,47.7,35,82,58.3,39,8.722222222,2013
36,,4,56,51.8,47,86,69.9,56,11,2013
37,,5,59,50.8,45,94,86.7,69,10.44444444,2013
38,,6,46,39.3,32,89,73.4,47,4.055555556,2013
39,,7,47,37.2,30,85,68.5,43,2.888888889,2013
40,,8,61,45.8,28,75,54.1,36,7.666666667,2013
41,,9,58,49.6,43,68,55.7,41,9.777777778,2013
42,,10,50,41.8,28,79,58,43,5.444444444,2013
43,,11,49,33,20,81,67.7,50,0.555555556,2013
