number,,,temp,,,hum,,,temp,
,,time,Max,Avg,Min,Max,Avg,Min,Avg,
263,,19,82,74,66,93,81.9,69,23.33333333,2014
264,,20,89,77.5,63,97,65.2,29,25.27777778,2014
265,,21,85,77.3,68,87,65.7,49,25.16666667,2014
266,,22,83,73.3,69,90,80.3,54,22.94444444,2014
267,,23,83,72.1,66,97,80.4,56,22.27777778,2014
268,,24,84,75.2,64,87,60.9,37,24,2014
269,,25,87,77.9,66,81,54.5,32,25.5,2014
270,,26,77,72,69,91,81.1,66,22.22222222,2014
271,,27,83,73.7,68,96,83.1,67,23.16666667,2014
272,,28,87,74.6,67,93,81.2,61,23.66666667,2014
273,,29,84,75.3,64,91,83.5,67,24.05555556,2014
274,,30,81,72.1,64,93,87.4,76,22.27777778,2014
275,7,1,79,70,61,90,66,50,21.11111111,2014
276,,2,68,61.5,57,83,71.8,61,16.38888889,2014
277,,3,78,67.8,54,90,58,36,19.88888889,2014
278,,4,81,71.7,60,80,60,45,22.05555556,2014
279,,5,77,68.8,63,94,83.3,70,20.44444444,2014
280,,6,88,79.9,70,93,75.8,58,26.61111111,2014
281,,7,87,78.3,67,87,67.4,49,25.72222222,2014
282,,8,82,74.2,66,81,60.2,41,23.44444444,2014
283,,9,81,72.4,62,80,59.4,40,22.44444444,2014
284,,10,84,74.4,64,80,59.2,38,23.55555556,2014
285,,11,78,72.7,67,90,80.2,70,22.61111111,2014
286,,12,89,77.5,71,94,80.2,63,25.27777778,2014
287,,13,87,73.7,66,100,77.5,47,23.16666667,2014
288,,14,77,69.9,60,87,58,35,21.05555556,2014
289,,15,73,64.3,55,80,59.8,43,17.94444444,2014
290,,16,77,68.6,59,81,55.8,37,20.33333333,2014
291,,17,79,70,59,81,60,39,21.11111111,2014
292,,18,80,71.4,62,81,63.2,43,21.88888889,2014
293,,19,82,73.6,64,81,64.8,49,23.11111111,2014
294,,20,85,76,65,87,67,51,24.44444444,2014
295,,21,92,82.5,71,81,69.8,57,28.05555556,2014
296,,22,91,84,75,81,68.7,57,28.88888889,2014
297,,23,84,76.1,68,73,56.3,41,24.5,2014
298,,24,80,72.2,64,84,66.1,47,22.33333333,2014
299,,25,82,72.9,66,87,73.6,64,22.72222222,2014
300,,26,86,78,71,90,76.2,59,25.55555556,2014
301,,27,79,73.1,66,91,63.3,43,22.83333333,2014
302,,28,76,67.9,61,90,69.4,46,19.94444444,2014
303,,29,80,69.7,59,87,62.1,38,20.94444444,2014
304,,30,82,71.1,59,86,59.2,37,21.72222222,2014
305,,31,83,71.2,60,87,67.1,39,21.77777778,2014
306,8,1,84,74.5,63,90,63.1,41,23.61111111,2014
307,,2,86,76.3,64,87,60.3,40,24.61111111,2014
308,,3,87,77.8,68,81,61,41,25.44444444,2014
309,,4,87,77.9,68,84,66.4,49,25.5,2014
310,,5,81,74.5,68,87,75.3,58,23.61111111,2014
311,,6,72,69.3,67,93,89.5,81,20.72222222,2014
312,,7,71,69.7,69,90,88.5,84,20.94444444,2014
313,,8,79,72.8,66,94,76,64,22.66666667,2014
314,,9,79,72.8,68,87,74.5,58,22.66666667,2014
315,,10,79,73.1,67,90,77.3,66,22.83333333,2014
316,,11,80,72,64,93,69.8,45,22.22222222,2014
317,,12,75,63.4,58,81,73.4,57,17.44444444,2014
318,,13,83,77.4,67,76,51.2,41,25.22222222,2014
319,,14,84,74.9,63,87,65,45,23.83333333,2014
320,,15,73,70.4,68,90,85,75,21.33333333,2014
321,,16,79,71.4,68,94,85,69,21.88888889,2014
322,,17,84,70.4,64,100,86.2,60,21.33333333,2014
323,,18,88,78.1,69,90,74.9,53,25.61111111,2014
324,,19,86,77.9,70,90,67.9,46,25.5,2014
325,,20,83,73.4,68,94,83.9,67,23,2014
326,,21,87,81.3,77,87,75.6,65,27.38888889,2014
327,,22,88,81.1,73,90,78.7,69,27.27777778,2014
328,,23,88,77.4,72,100,87.5,63,25.22222222,2014
329,,24,92,83.3,76,94,71.9,54,28.5,2014
330,,25,89,82.4,73,84,69,55,28,2014
331,,26,81,72.8,67,90,72.9,52,22.66666667,2014
332,,27,76,72.4,68,87,77.5,73,22.44444444,2014
333,,28,80,71.5,67,97,88.3,76,21.94444444,2014
334,,29,84,72.6,69,93,85.1,63,22.55555556,2014
335,,30,83,72.4,66,94,80.9,58,22.44444444,2014
336,,31,87,74.6,68,93,78.3,59,23.66666667,2014
337,9,1,81,72.7,66,87,74.4,52,22.61111111,2014
338,,2,80,71,62,87,67.3,47,21.66666667,2014
339,,3,85,75.5,64,87,74.3,59,24.16666667,2014
340,,4,93,83.6,76,87,68.4,50,28.66666667,2014
341,,5,76,65.2,57,87,76.6,68,18.44444444,2014
342,,6,75,63.8,51,89,64.3,40,17.66666667,2014
343,,7,77,65.8,56,87,63.7,38,18.77777778,2014
344,,8,75,67.5,56,83,73.6,57,19.72222222,2014
345,,9,77,70.3,67,93,86.8,76,21.27777778,2014
346,,10,70,63.8,53,93,82.3,72,17.66666667,2014
347,,11,56,53,50,83,74.6,67,11.66666667,2014
348,,12,54,48.6,44,89,79.8,64,9.222222222,2014
349,,13,61,50.5,40,93,70.7,44,10.27777778,2014
350,,14,70,60.5,50,80,65,47,15.83333333,2014
351,,15,64,59.2,49,93,75.8,58,15.11111111,2014
352,,16,67,56.4,44,93,70.4,48,13.55555556,2014
353,,17,75,65.5,55,84,68.8,51,18.61111111,2014
354,,18,74,61.8,56,97,79.9,45,16.55555556,2014
355,,19,80,69,56,90,76,58,20.55555556,2014
356,,20,85,73.7,66,90,69.5,45,23.16666667,2014
357,,21,71,62.5,56,84,61.2,42,16.94444444,2014
358,,22,73,61.3,49,90,67.2,42,16.27777778,2014
359,,23,72,63,54,86,66.8,48,17.22222222,2014
360,,24,66,62.2,58,90,76.2,67,16.77777778,2014
361,,25,79,69.3,62,75,65.2,48,20.72222222,2014
362,,26,82,71.7,62,80,63,38,22.05555556,2014
363,,27,82,70.9,64,84,69.1,50,21.61111111,2014
364,,28,83,71.3,62,87,66,39,21.83333333,2014
365,,29,84,70.7,61,87,68.4,43,21.5,2014
366,,30,70,62.9,58,90,79.8,65,17.16666667,2014
367,10,1,71,64.9,59,97,86.7,75,18.27777778,2014
368,,2,68,63.5,54,97,89.7,81,17.5,2014
369,,3,53,48.1,39,89,59.9,44,8.944444444,2014
370,,4,54,44,36,67,53.6,37,6.666666667,2014
371,,5,67,54.9,44,77,55.9,32,12.72222222,2014
372,,6,66,56.9,48,86,59.3,36,13.83333333,2014
373,,7,70,60.3,52,74,51.5,27,15.72222222,2014
374,,8,71,58.9,46,83,51.8,24,14.94444444,2014
375,,9,65,55.2,51,93,67.9,39,12.88888889,2014
376,,10,56,48.8,42,80,60.9,43,9.333333333,2014
377,,11,62,50.3,38,86,59.4,32,10.16666667,2014
378,,12,55,51.7,43,93,84.4,71,10.94444444,2014
379,,13,56,54.4,54,97,91.3,86,12.44444444,2014
380,,14,62,55.5,52,89,67.2,44,13.05555556,2014
381,,15,69,55.1,43,74,53.8,30,12.83333333,2014
382,,16,75,55.7,0,82,56,0,13.16666667,2014
383,,17,61,55.6,50,69,60.1,50,13.11111111,2014
384,,18,58,49.1,41,86,70.7,53,9.5,2014
385,,19,67,53.6,40,89,70.3,47,12,2014
386,,20,72,58.2,47,83,58,29,14.55555556,2014
387,,21,66,54.7,43,86,63.4,43,12.61111111,2014
388,,22,67,55.1,44,82,63.9,49,12.83333333,2014
389,,23,72,58.6,53,97,82.6,44,14.77777778,2014
390,,24,68,59.8,51,97,91.3,78,15.44444444,2014
391,,25,72,60.1,52,96,56.8,28,15.61111111,2014
392,,26,73,61.8,50,70,46,30,16.55555556,2014
393,,27,73,63.5,52,83,67.6,48,17.5,2014
394,,28,57,49.5,42,70,54.6,39,9.722222222,2014
395,,29,55,47,42,70,57.8,43,8.333333333,2014
396,,30,63,50.9,42,74,57.8,41,10.5,2014
397,,31,43,36.6,30,57,48.2,34,2.555555556,2014
398,11,1,48,37.1,25,81,53.1,32,2.833333333,2014
399,,2,61,51.2,40,56,40.5,29,10.66666667,2014
400,,3,65,57.4,47,86,64,52,14.11111111,2014
401,,4,60,48.9,43,80,63,33,9.388888889,2014
402,,5,59,49.2,40,80,62.3,39,9.555555556,2014
403,,6,50,43,34,79,60.3,41,6.111111111,2014
404,,7,58,46,32,79,57.7,33,7.777777778,2014
405,,8,52,43.5,35,70,56.1,41,6.388888889,2014
406,,9,56,48.5,39,65,54.4,45,9.166666667,2014
407,,10,65,46.1,31,85,67.8,47,7.833333333,2014
408,,11,30,26.8,23,84,69.9,55,-2.888888889,2014
409,,12,25,22,18,86,63.2,48,-5.555555556,2014
410,,13,27,23.4,18,75,64.5,51,-4.777777778,2014
411,,14,30,21.4,11,81,55.5,32,-5.888888889,2014
412,,15,29,25.4,21,92,76.5,48,-3.666666667,2014
413,,16,27,20.8,13,88,75.9,59,-6.222222222,2014
414,,17,18,15.1,11,74,64.6,54,-9.388888889,2014
415,,18,27,18.2,8,73,63.8,55,-7.666666667,2014
416,,19,30,25.8,22,71,63.3,58,-3.444444444,2014
417,,20,29,22.5,15,74,62.7,49,-5.277777778,2014
418,,21,38,29.4,14,77,64.6,47,-1.444444444,2014
419,,22,57,48.1,38,97,85.5,64,8.944444444,2014
420,,23,55,49,36,93,85.8,70,9.444444444,2014
421,,24,34,28.2,25,75,66.7,61,-2.111111111,2014
422,,25,37,27.5,17,78,53.7,28,-2.5,2014
423,,26,33,29.7,22,89,82.9,50,-1.277777778,2014
424,,27,21,12.9,4,81,65.8,49,-10.61111111,2014
425,,28,44,31.5,15,81,71,58,-0.277777778,2014
426,,29,59,46.3,35,85,73.8,58,7.944444444,2014
427,,30,42,22.1,14,88,65.2,47,-5.5,2014
428,12,1,17,14.1,11,70,48.7,37,-9.944444444,2014
429,,2,37,24,11,77,58.4,42,-4.444444444,2014
430,,3,36,29.4,23,65,52.5,36,-1.444444444,2014
431,,4,35,30.7,24,82,63.5,50,-0.722222222,2014
432,,5,42,35.7,33,96,89.1,79,2.055555556,2014
433,,6,43,35.5,31,92,74,45,1.944444444,2014
434,,7,38,34.6,29,93,81.7,70,1.444444444,2014
435,,8,45,37.9,30,93,74.4,53,3.277777778,2014
436,,9,34,28.3,23,78,71.8,61,-2.055555556,2014
437,,10,34,31.1,28,82,76.4,72,-0.5,2014
438,,11,37,33.6,31,82,79.1,70,0.888888889,2014
439,,12,51,40.5,34,89,79,63,4.722222222,2014
440,,13,57,49.7,43,93,86.8,72,9.833333333,2014
441,,14,57,54.2,51,90,85.5,80,12.33333333,2014
442,,15,52,49.9,34,93,88.7,83,9.944444444,2014
443,,16,32,26.6,18,85,75.2,66,-3,2014
444,,17,30,21,15,78,69.3,51,-6.111111111,2014
445,,18,31,26.7,23,81,73.6,64,-2.944444444,2014
446,,19,33,30.7,28,92,84.3,78,-0.722222222,2014
447,,20,37,34,32,93,89,82,1.111111111,2014
448,,21,44,40.8,38,93,82.6,76,4.888888889,2014
449,,22,42,40.5,39,93,88.8,85,4.722222222,2014
450,,23,40,37.3,34,93,90.5,82,2.944444444,2014
451,,24,35,34,32,92,86.8,82,1.111111111,2014
452,,25,50,39.7,31,85,67.7,50,4.277777778,2014
453,,26,39,34.8,31,92,84.3,70,1.555555556,2014
454,,27,35,29.2,19,92,82.2,69,-1.555555556,2014
455,,28,36,25.5,16,85,74,57,-3.611111111,2014
456,,29,29,22.2,8,85,73.5,55,-5.444444444,2014
457,,30,12,6.3,2,73,59.7,42,-14.27777778,2014
458,,31,23,15.1,0,72,56.9,42,-9.388888889,2014
459,2015,1,39,23.9,14,78,63,39,-4.5,2015
460,,2,34,28.2,18,85,70.2,56,-2.111111111,2015
461,,3,39,32.3,17,85,74.1,62,0.166666667,2015
462,,4,16,8.5,3,81,67.1,53,-13.05555556,2015
463,,5,12,8.5,2,81,75.1,63,-13.05555556,2015
464,,6,13,8.8,-3,84,72.4,64,-12.88888889,2015
465,,7,8,-0.8,-7,72,64.1,54,-18.22222222,2015
466,,8,25,13.7,-7,77,66.5,49,-10.16666667,2015
467,,9,13,7.6,2,72,62.2,53,-13.55555556,2015
468,,10,33,17.6,0,72,57,38,-8,2015
469,,11,35,24.1,18,75,60,44,-4.388888889,2015
470,,12,19,11.3,2,76,63.5,51,-11.5,2015
471,,13,19,9.2,-5,76,69,59,-12.66666667,2015
472,,14,28,23.1,19,85,69,55,-4.944444444,2015
473,,15,42,30.3,20,88,73.7,55,-0.944444444,2015
474,,16,56,39,24,88,62.9,36,3.888888889,2015
475,,17,48,43.2,37,83,60.8,42,6.222222222,2015
476,,18,49,38,31,79,63.6,41,3.333333333,2015
477,,19,46,36.2,27,82,72.8,56,2.333333333,2015
478,,20,47,38.9,32,82,69,56,3.833333333,2015
479,,21,37,34,30,79,71.5,62,1.111111111,2015
480,,22,32,29.7,25,81,73,66,-1.277777778,2015
481,,23,46,33,21,85,66.8,42,0.555555556,2015
482,,24,53,40.4,28,89,68.8,44,4.666666667,2015
483,,25,41,36.1,32,89,81.4,69,2.277777778,2015
484,,26,53,40.1,32,86,71,52,4.5,2015
485,,27,46,36.8,30,89,75,54,2.666666667,2015
486,,28,52,37.8,30,89,76.9,57,3.222222222,2015
487,,29,37,34.3,25,86,73,59,1.277777778,2015
488,,30,36,26.3,18,78,60.8,37,-3.166666667,2015
489,,31,40,35.4,27,92,82.9,69,1.888888889,2015
490,2,1,34,25.4,11,92,85.2,73,-3.666666667,2015
491,,2,16,7.7,-3,79,73.1,65,-13.5,2015
492,,3,27,16.2,8,85,80.1,72,-8.777777778,2015
493,,4,19,15.1,-1,84,76.8,62,-9.388888889,2015
494,,5,18,6,-9,83,70.6,54,-14.44444444,2015
495,,6,39,28.2,13,85,70.3,59,-2.111111111,2015
496,,7,45,37.6,29,86,77.2,65,3.111111111,2015
497,,8,42,37.2,34,86,77.4,65,2.888888889,2015
498,,9,34,32.3,30,82,73.8,66,0.166666667,2015
499,,10,37,31,24,88,75.6,65,-0.555555556,2015
500,,11,39,26.8,13,83,68.1,49,-2.888888889,2015
501,,12,16,9.5,3,69,60.1,49,-12.5,2015
502,,13,37,26.9,15,81,67.7,54,-2.833333333,2015
503,,14,35,16.5,5,79,54.3,42,-8.611111111,2015
504,,15,13,9.4,5,56,52.8,49,-12.55555556,2015
505,,16,27,20.4,13,69,61,52,-6.444444444,2015
506,,17,24,18,12,75,63.2,52,-7.777777778,2015
507,,18,12,6.2,0,70,54.8,46,-14.33333333,2015
508,,19,16,8.3,-2,72,53.8,40,-13.16666667,2015
509,,20,39,27.1,17,66,54.7,44,-2.722222222,2015
510,,21,31,27.4,15,82,66.1,45,-2.555555556,2015
511,,22,13,9,3,61,50.5,43,-12.77777778,2015
512,,23,20,8.8,-2,66,49.5,36,-12.88888889,2015
513,,24,39,27.6,16,68,55.5,44,-2.444444444,2015
514,,25,30,22.1,11,82,69.4,43,-5.5,2015
515,,26,10,6.4,-1,72,61,53,-14.22222222,2015
516,,27,14,4.5,-7,76,64,47,-15.27777778,2015
517,,28,23,16.9,2,86,74.2,55,-8.388888889,2015
518,3,1,33,25.6,20,85,67.1,50,-3.555555556,2015
519,,2,32,26.3,17,81,61.8,50,-3.166666667,2015
520,,3,36,30.2,16,92,75.5,61,-1,2015
521,,4,29,18,11,70,51.7,36,-7.777777778,2015
522,,5,21,12.6,2,67,52.8,38,-10.77777778,2015
523,,6,55,37.2,17,66,46.8,29,2.888888889,2015
524,,7,52,42.9,32,75,56.1,43,6.055555556,2015
525,,8,56,43.8,36,76,59.4,39,6.555555556,2015
526,,9,58,44.5,31,85,60,26,6.944444444,2015
527,,10,70,52.1,34,89,57.3,25,11.16666667,2015
528,,11,64,51.5,38,73,47.8,23,10.83333333,2015
529,,12,73,55.1,40,77,54,26,12.83333333,2015
530,,13,73,56.9,44,89,56.4,27,13.83333333,2015
531,,14,66,50.9,35,89,53.6,22,10.5,2015
532,,15,73,56.7,37,70,37.6,16,13.72222222,2015
533,,16,84,65.2,47,71,36.9,14,18.44444444,2015
534,,17,49,42.7,36,71,39,20,5.944444444,2015
535,,18,54,45.3,38,47,33.2,21,7.388888889,2015
536,,19,47,41.8,37,82,58.8,45,5.444444444,2015
537,,20,65,48.6,32,92,54.1,21,9.222222222,2015
538,,21,58,47.7,38,79,51.9,25,8.722222222,2015
539,,22,63,48,37,67,47,37,8.888888889,2015
540,,23,41,36.4,33,78,70.4,60,2.444444444,2015
541,,24,37,34.3,32,93,86.4,78,1.277777778,2015
542,,25,49,39.2,33,96,77.5,54,4,2015
543,,26,46,38,30,73,55.4,39,3.333333333,2015
544,,27,41,34.8,26,69,41,26,1.555555556,2015
545,,28,50,40.4,32,55,37.4,25,4.666666667,2015
546,,29,63,48.8,37,83,52.4,20,9.333333333,2015
547,,30,76,57.1,37,59,34.8,15,13.94444444,2015
548,,31,76,60.9,43,68,36.9,18,16.05555556,2015
549,4,1,82,67.6,53,72,38.5,19,19.77777778,2015
550,,2,67,59.6,53,90,54.9,21,15.33333333,2015
551,,3,52,42.5,34,76,43.9,17,5.833333333,2015
552,,4,67,50.9,31,64,37,21,10.5,2015
553,,5,71,57.8,43,69,35.6,20,14.33333333,2015
554,,6,60,54.7,51,90,77.5,62,12.61111111,2015
555,,7,54,50.4,47,93,91.5,89,10.22222222,2015
556,,8,54,49,45,93,89.3,86,9.444444444,2015
557,,9,55,49,38,100,89.7,79,9.444444444,2015
558,,10,57,48,38,82,57.2,34,8.888888889,2015
559,,11,74,57.1,37,79,45.1,21,13.94444444,2015
560,,12,72,61.4,53,87,63.1,45,16.33333333,2015
561,,13,66,57.3,47,90,46.1,18,14.05555556,2015
562,,14,69,57.8,43,65,36.5,17,14.33333333,2015
563,,15,70,61.8,51,49,31.1,22,16.55555556,2015
564,,16,74,64.7,55,72,49.2,32,18.16666667,2015
565,,17,80,68.3,54,83,54.6,34,20.16666667,2015
566,,18,75,64.6,60,94,78.8,51,18.11111111,2015
567,,19,66,56.9,47,93,85.9,73,13.83333333,2015
568,,20,57,47.7,39,76,54,17,8.722222222,2015
569,,21,58,47.2,36,57,41.1,23,8.444444444,2015
570,,22,57,46.2,34,67,37.9,19,7.888888889,2015
571,,23,62,51.1,35,70,34.9,20,10.61111111,2015
572,,24,57,53.4,50,83,66.4,34,11.88888889,2015
573,,25,52,48.8,45,90,79.2,68,9.333333333,2015
574,,26,64,53.7,42,79,44.9,25,12.05555556,2015
575,,27,69,56.6,40,73,41.8,23,13.66666667,2015
576,,28,75,61.8,45,76,39.8,16,16.55555556,2015
577,,29,74,61.7,48,77,42.1,20,16.5,2015
578,,30,73,61.7,46,66,35.1,20,16.5,2015
579,5,1,70,59.3,47,70,50.9,31,15.16666667,2015
580,,2,66,61.4,56,78,64.4,51,16.33333333,2015
581,,3,84,72,60,86,59.2,41,22.22222222,2015
582,,4,71,66.5,62,90,76.4,63,19.16666667,2015
583,,5,79,66.8,62,96,82.3,50,19.33333333,2015
584,,6,77,70.8,65,87,65.5,50,21.55555556,2015
585,,7,80,71.7,67,81,65.6,56,22.05555556,2015
586,,8,68,62.2,57,81,69.1,55,16.77777778,2015
587,,9,74,64.3,54,83,63.8,44,17.94444444,2015
588,,10,73,66.3,60,90,83,71,19.05555556,2015
589,,11,55,50.4,47,77,65.8,59,10.22222222,2015
590,,12,69,56.8,43,74,45.9,26,13.77777778,2015
591,,13,72,61.3,49,66,47,29,16.27777778,2015
592,,14,62,60.1,54,96,88.6,54,15.61111111,2015
593,,15,75,64.8,57,97,85.4,64,18.22222222,2015
594,,16,80,70.5,63,93,79.6,58,21.38888889,2015
595,,17,77,68.9,63,87,74.2,48,20.5,2015
596,,18,59,50.7,43,72,57.8,47,10.38888889,2015
597,,19,59,50,39,73,55,42,10,2015
598,,20,53,48.4,44,93,80.8,52,9.111111111,2015
599,,21,77,60,41,92,53.5,23,15.55555556,2015
600,,22,77,64.5,51,69,47.3,24,18.05555556,2015
601,,23,73,66.2,57,74,58,42,19,2015
602,,24,72,65.2,60,93,85.2,61,18.44444444,2015
603,,25,80,68.9,63,90,77.1,50,20.5,2015
604,,26,70,64,62,90,86.1,73,17.77777778,2015
605,,27,82,69.7,57,90,65,37,20.94444444,2015
606,,28,78,69.9,63,93,71.5,52,21.05555556,2015
607,,29,75,69.4,61,93,80.2,68,20.77777778,2015
608,,30,64,59.2,56,90,80.3,67,15.11111111,2015
609,,31,70,60.4,50,87,55.9,31,15.77777778,2015
610,6,1,72,62.7,52,81,60,35,17.05555556,2015
611,,2,73,63.9,55,87,70.5,53,17.72222222,2015
612,,3,78,69.1,61,90,76.2,62,20.61111111,2015
613,,4,80,73.2,64,93,75.3,62,22.88888889,2015
614,,5,85,77.1,67,87,65.5,49,25.05555556,2015
615,,6,77,72,66,79,68,56,22.22222222,2015
616,,7,85,75.4,66,90,69.9,38,24.11111111,2015
617,,8,88,76,62,84,52.8,26,24.44444444,2015
618,,9,95,82,66,68,45.7,25,27.77777778,2015
619,,10,90,82.1,73,79,54.1,37,27.83333333,2015
620,,11,76,71.1,66,90,84,54,21.72222222,2015
621,,12,70,66.3,63,94,88,75,19.05555556,2015
622,,13,76,69.6,65,94,82.7,69,20.88888889,2015
623,,14,80,75.1,70,90,81.2,71,23.94444444,2015
624,,15,75,70.5,64,94,84.7,66,21.38888889,2015
625,,16,80,72,60,80,57.5,42,22.22222222,2015
626,,17,85,76.7,70,90,72.4,57,24.83333333,2015
627,,18,78,72.1,65,78,62.9,54,22.27777778,2015
628,,19,81,73.1,63,81,60.5,44,22.83333333,2015
629,,20,90,77.8,65,90,69.5,57,25.44444444,2015
630,,21,85,78.2,69,90,71.1,46,25.66666667,2015
631,,22,89,79.1,72,87,73.7,47,26.16666667,2015
632,,23,82,73.4,63,78,55.5,37,23,2015
633,,24,78,70,65,93,84.1,70,21.11111111,2015
634,,25,79,71.3,68,93,83.7,65,21.83333333,2015
635,,26,76,71.6,66,90,75.3,54,22,2015
636,,27,83,73,61,90,63,38,22.77777778,2015
637,,28,85,73.1,64,84,70.3,48,22.83333333,2015
638,,29,83,75,65,90,67.5,49,23.88888889,2015
639,,30,81,74.4,67,81,68.8,54,23.55555556,2015
640,7,1,75,70.5,63,81,71,61,21.38888889,2015
641,,2,70,65,59,83,67.9,50,18.33333333,2015
642,,3,80,70.3,60,83,60.2,37,21.27777778,2015
643,,4,82,72.8,61,81,61.6,44,22.66666667,2015
644,,5,87,76.9,65,84,69.5,53,24.94444444,2015
645,,6,79,74.8,67,88,80.9,68,23.77777778,2015
646,,7,73,67.3,59,75,56.2,44,19.61111111,2015
647,,8,69,65.1,60,84,72.2,61,18.38888889,2015
648,,9,80,70.3,59,87,67.1,43,21.27777778,2015
649,,10,81,73.3,64,87,68.3,49,22.94444444,2015
650,,11,85,75.3,70,93,81.5,65,24.05555556,2015
651,,12,92,82.6,74,93,76.7,62,28.11111111,2015
652,,13,97,86.2,77,88,62.4,33,30.11111111,2015
653,,14,90,82.5,74,76,60.3,46,28.05555556,2015
654,,15,80,76,73,88,79.8,71,24.44444444,2015
655,,16,87,76,71,91,82.8,63,24.44444444,2015
656,,17,95,85.5,75,91,70.2,46,29.72222222,2015
657,,18,90,83.7,77,79,66,55,28.72222222,2015
658,,19,85,78.2,72,82,63.3,43,25.66666667,2015
659,,20,87,76.8,69,91,72.2,45,24.88888889,2015
660,,21,81,73.1,63,81,55.8,39,22.83333333,2015
661,,22,79,72.6,64,80,62.6,50,22.55555556,2015
662,,23,86,76.7,67,79,64.4,44,24.83333333,2015
663,,24,88,79.4,70,82,71.7,57,26.33333333,2015
664,,25,89,80.2,74,87,76,55,26.77777778,2015
665,,26,89,78.3,71,90,76.8,52,25.72222222,2015
666,,27,85,75.8,71,91,82.6,72,24.33333333,2015
667,,28,88,76,71,94,85.1,63,24.44444444,2015
668,,29,85,76.6,68,91,62.3,31,24.77777778,2015
669,,30,89,77.3,64,78,57.3,29,25.16666667,2015
670,,31,89,79.5,69,81,59.3,39,26.38888889,2015
671,8,1,87,79.1,69,87,69.4,55,26.16666667,2015
672,,2,93,80.7,73,73,62.6,49,27.05555556,2015
673,,3,84,75.6,67,76,51.8,34,24.22222222,2015
674,,4,78,73,67,79,64.1,50,22.77777778,2015
675,,5,80,74.3,70,81,71.1,62,23.5,2015
676,,6,83,75.7,68,84,72.2,60,24.27777778,2015
677,,7,90,79.3,70,87,66.9,39,26.27777778,2015
678,,8,84,77.3,72,87,74.2,52,25.16666667,2015
679,,9,85,77,71,91,78.3,61,25,2015
680,,10,85,73.9,67,91,75.3,49,23.27777778,2015
681,,11,85,74.8,64,84,61.6,38,23.77777778,2015
682,,12,86,75.8,65,87,63.3,41,24.33333333,2015
683,,13,87,77,66,84,67.3,46,25,2015
684,,14,88,79.9,71,87,65.5,45,26.61111111,2015
685,,15,88,79,70,84,66.3,48,26.11111111,2015
686,,16,88,78.1,69,87,70.2,51,25.61111111,2015
687,,17,78,74.3,72,87,77.2,66,23.5,2015
688,,18,72,67.9,60,94,85.4,72,19.94444444,2015
689,,19,67,61,57,84,73.2,61,16.11111111,2015
690,,20,79,68.2,53,84,61.3,36,20.11111111,2015
691,,21,82,72.4,64,75,60.3,42,22.44444444,2015
692,,22,84,74,66,87,75.1,56,23.33333333,2015
693,,23,73,64.5,56,87,61.3,37,18.05555556,2015
694,,24,76,64.4,53,78,57.8,36,18,2015
695,,25,77,65.5,53,83,58.9,33,18.61111111,2015
696,,26,77,66,53,90,63.6,39,18.88888889,2015
697,,27,75,66.9,59,81,72.3,60,19.38888889,2015
698,,28,78,69.4,64,87,81.8,71,20.77777778,2015
699,,29,73,68.2,64,93,83.9,73,20.11111111,2015
700,,30,78,66.8,61,94,86.5,66,19.33333333,2015
701,,31,88,77.4,68,90,76.3,57,25.22222222,2015
702,9,1,90,79.4,69,90,71,54,26.33333333,2015
703,,2,89,78.5,71,87,71.5,46,25.83333333,2015
704,,3,91,80.9,73,85,69.4,50,27.16666667,2015
705,,4,90,81.3,71,84,67,50,27.38888889,2015
706,,5,92,82.5,74,82,67.1,48,28.05555556,2015
707,,6,94,80.1,72,94,72.6,49,26.72222222,2015
708,,7,86,76.8,72,94,79.3,58,24.88888889,2015
709,,8,82,75.4,67,87,73,54,24.11111111,2015
710,,9,82,73,64,78,59,41,22.77777778,2015
711,,10,84,74.1,65,90,64,42,23.38888889,2015
712,,11,70,61.9,55,77,57.3,36,16.61111111,2015
713,,12,70,59.6,49,86,59.3,32,15.33333333,2015
714,,13,75,63.2,49,83,62,40,17.33333333,2015
715,,14,83,72.3,61,78,61.2,44,22.38888889,2015
716,,15,86,75,67,68,52.6,32,23.88888889,2015
717,,16,88,77,66,76,63.8,46,25,2015
718,,17,86,76.7,72,91,77.4,59,24.83333333,2015
719,,18,71,63,53,90,80.7,61,17.22222222,2015
720,,19,71,59.7,50,89,64.7,35,15.38888889,2015
721,,20,74,63.1,50,86,62.5,41,17.27777778,2015
722,,21,77,67.6,56,81,69.2,54,19.77777778,2015
723,,22,82,73.5,67,90,72.8,54,23.05555556,2015
724,,23,78,71.8,68,81,74.1,61,22.11111111,2015
725,,24,79,72.2,67,68,59.6,48,22.33333333,2015
726,,25,81,70.7,63,75,59.3,39,21.5,2015
727,,26,81,70.2,59,83,60.3,36,21.22222222,2015
728,,27,81,69.4,60,86,68.7,48,20.77777778,2015
729,,28,84,72.3,60,90,67.6,44,22.38888889,2015
730,,29,71,63.7,56,90,66.2,30,17.61111111,2015
731,,30,67,56.9,48,74,49,27,13.83333333,2015
732,10,1,65,55.4,46,80,59.1,37,13,2015
733,,2,65,54.6,44,80,56.9,34,12.55555556,2015
734,,3,63,53.9,45,80,58.6,37,12.16666667,2015
735,,4,57,50.8,46,80,74.3,67,10.44444444,2015
736,,5,68,59.5,51,84,71.4,56,15.27777778,2015
