number,,,TEMP,,,HUM,,,TEMP
,,,Max,Avg,Min,,,,AVG
,,31,77,69.3,63,100,88.9,66,
,,1,75,68.3,62,100,85.4,68,
,,2,70,64.6,58,93,77.8,64,
,,3,68,57.9,48,83,64.2,43,
,,4,75,64.1,52,74,51,31,
,,5,79,69.6,59,67,52.7,40,
,,6,77,68.8,63,68,59.6,52,
,,7,73,67.8,62,84,67.5,55,
,,8,77,68,60,83,66.2,46,
,,9,80,71.6,65,90,72,45,
,,10,74,67.7,64,100,86.2,62,
,,11,82,73,61,93,71.1,52,
,,12,87,79.8,70,93,73,61,
,,13,82,71.8,63,94,73.3,45,
,,14,79,68.4,55,89,63.1,44,
,,15,82,73.1,62,84,62,47,
,,16,78,71.6,66,93,77.5,66,
,,17,86,72.9,64,100,79.8,46,
,,18,84,74.1,65,87,64.4,42,
,,19,80,71.8,63,75,59.2,45,
,,20,84,75.4,65,78,55.8,39,
,,21,87,77.4,66,75,57.4,38,
,,22,88,77.3,71,84,69.9,55,
,,23,85,72.6,66,94,81.4,55,
,,24,84,76,70,91,76.8,55,
,,25,88,78,68,91,74.4,55,
,,26,82,72.5,66,94,82.9,64,
,,27,88,75.9,68,96,77.7,49,
,,28,85,75,67,84,65,41,
,,29,75,69.1,63,93,80,65,
,,30,74,68.1,64,94,82.1,64,
,,1,72,67.6,65,88,81,71,
,,2,77,67.1,62,96,85.8,66,
,,3,79,68.8,63,100,81.3,56,
,,4,76,70.6,63,93,80,64,
,,5,79,71.2,64,100,81.4,60,
,,6,73,70.7,68,93,83.3,68,
,,7,84,72.1,64,94,79.1,53,
,,8,85,78.1,69,90,73.5,63,
,,9,88,81.1,77,81,73.2,61,
,,10,83,77.6,70,87,77.2,66,
,,11,79,72.5,65,70,54.6,42,
,,12,81,71.7,60,80,57.5,36,
,,13,85,74.7,64,84,61.2,43,
,,14,88,80.5,71,78,62.4,49,
,,15,88,81.2,74,87,67.4,53,
,,16,91,83.4,74,82,63.2,50,
,,17,93,84.6,75,85,62.4,44,
,,18,93,84.1,75,85,64.8,42,
,,19,92,83.4,76,87,68.6,48,
,,20,82,74.6,70,90,82,69,
,,21,83,75.2,67,93,76.7,60,
,,22,83,74.1,70,94,81.6,60,
,,23,90,77.5,68,93,70.9,46,
,,24,76,67.1,58,81,60.5,43,
,,25,78,69.3,58,81,55.5,37,
,,26,79,71,61,78,61.8,47,
,,27,77,68.8,62,94,75,45,
,,28,72,63,51,86,62.8,43,
,,29,77,67.7,56,87,61.3,43,
,,30,74,68.6,63,88,71.9,57,
,,31,76,69.2,64,94,86,73,
,,1,83,70.6,64,94,75.5,36,
,,2,83,71.1,61,81,67.7,47,
,,3,83,72.6,68,94,76.8,47,
,,4,79,69.9,60,75,54.1,36,
,,5,80,71.5,63,78,59,42,
,,6,80,73.9,69,84,75.1,64,
,,7,84,75.5,70,94,83.8,65,
,,8,85,76.7,73,94,83,61,
,,9,84,74.3,70,94,77.1,51,
,,10,85,76.7,69,84,64.9,44,
,,11,83,75.8,68,90,66.7,46,
,,12,83,74.9,67,90,69.3,42,
,,13,76,69.2,59,90,70.2,46,
,,14,70,62.1,53,77,56.8,40,
,,15,74,64.5,54,77,56.2,39,
,,16,76,67.7,60,78,57.5,38,
,,17,80,71,61,75,56.6,40,
,,18,82,72.2,62,84,60.8,39,
,,19,83,73.7,61,90,63,44,
,,20,87,76.4,66,87,64.1,40,
,,21,87,77.1,67,93,70,46,
,,22,87,75.9,68,90,70.3,49,
,,23,85,76.3,68,87,64.4,43,
,,24,87,76.2,64,75,48.7,29,
,,25,87,76.1,65,78,53,31,
,,26,89,77.3,65,90,67.4,42,
,,27,90,80.1,72,93,73.3,50,
,,28,94,82.8,74,85,67.5,46,
,,29,89,79.9,72,93,67,40,
,,30,93,81,69,90,65.8,42,
,,31,95,79.3,71,90,69.5,47,
,,1,85,74.9,68,94,79.1,59,
,,2,83,74.4,69,94,73.5,42,
,,3,75,67.1,57,78,58.9,43,
,,4,82,69.4,57,87,61.8,35,
,,5,87,74.1,62,86,60.2,39,
,,6,84,72.5,61,65,50.6,38,
,,7,86,75.1,63,81,61.6,44,
,,8,88,78.2,69,90,67.4,40,
,,9,93,79.9,69,90,68.5,45,
