Day,Beta,temp
226,0.917922318,11.44
227,0.921204865,11.5
228,0.92444706,7.56
229,0.927646637,8.5
230,0.930802464,12.33
231,0.933912635,16
232,0.936975241,19.94
233,0.939989388,23.56
234,0.942953348,19.89
235,0.945866108,17.94
236,0.948726177,20.61
237,0.951532125,20.89
238,0.954283357,20.28
239,0.956978202,21.78
240,0.959615886,22.22
241,0.962195456,21.83
242,0.9647156,24.22
243,0.967175543,25.72
244,0.969573796,25.39
245,0.97191,24.72
246,0.974183083,23.06
247,0.976391971,22
248,0.978535533,21.5
249,0.980613351,19.56
250,0.98262465,23.5
251,0.984568059,19.61
252,0.986443043,17.72
253,0.988248765,19.56
254,0.989984512,20.11
255,0.991649508,22.5
256,0.993243277,20.83
257,0.994765162,19.28
258,0.996214271,22.61
259,0.997590661,23.83
260,0.998893738,25.67
261,1.000123143,19.94
262,1.001278877,27.11
263,1.002360821,23.33
264,1.003368974,25.28
265,1.004304051,25.17
266,1.005165815,22.94
267,1.005955577,22.28
268,1.006673932,24
269,1.007321835,25.5
270,1.007900953,22.22
271,1.008412838,23.17
272,1.008859754,23.67
273,1.009243727,24.06
274,1.009567499,22.28
275,1.00983417,21.11
276,1.010047674,16.39
277,1.010211468,19.89
278,1.0103302,22.06
279,1.010408759,20.44
280,1.010453224,26.61
281,1.01046896,25.72
282,1.010462999,23.44
283,1.010442734,22.44
284,1.010415554,23.56
285,1.010390282,22.61
286,1.010375977,25.28
287,1.010382652,23.17
288,1.01042068,21.06
289,1.010501027,17.94
290,1.010635614,20.33
291,1.010836959,21.11
292,1.011117816,21.89
293,1.011491656,23.11
294,1.011973143,24.44
295,1.012576103,28.06
296,1.013315916,28.89
297,1.014207482,24.5
298,1.015266776,22.33
299,1.016509056,22.72
300,1.017950296,25.56
301,1.019605875,22.83
302,1.021490812,19.94
303,1.023620248,20.94
304,1.02600801,21.72
305,1.028667927,21.78
306,1.031612039,23.61
307,1.034851551,24.61
308,1.038396239,25.44
309,1.042253971,25.5
310,1.046430826,23.61
311,1.050930619,20.72
312,1.055754781,20.94
313,1.060902119,22.67
314,1.066369057,22.67
315,1.072147846,22.83
316,1.078228951,22.22
317,1.08459866,17.44
318,1.091240048,25.22
319,1.098133087,23.83
320,1.105253935,21.33
321,1.112575769,21.89
322,1.120068789,21.33
323,1.127699852,25.61
324,1.135433435,25.5
325,1.143231511,23
326,1.151053905,27.39
327,1.158859372,27.28
328,1.166605473,25.22
329,1.174248457,28.5
330,1.181745768,28
331,1.189053774,22.67
332,1.196130991,22.44
333,1.202936769,21.94
334,1.209432006,22.56
335,1.215580463,22.44
336,1.221348166,23.67
337,1.226704359,22.61
338,1.231621146,21.67
339,1.236074448,24.17
340,1.240043163,28.67
341,1.243510485,18.44
342,1.246462584,17.67
343,1.248889923,18.78
344,1.250786066,19.72
345,1.252148151,21.28
346,1.252976298,17.67
347,1.253274441,11.67
348,1.253048778,9.22
349,1.252308488,10.28
350,1.251065135,15.83
351,1.249332428,15.11
352,1.247126102,13.56
353,1.244463921,18.61
354,1.241364598,16.56
355,1.237848401,20.56
356,1.233937383,23.17
357,1.22965312,16.94
358,1.225018501,16.28
359,1.220057845,17.22
360,1.214794397,16.78
361,1.209252119,20.72
362,1.203455567,22.06
363,1.197427988,21.61
364,1.1911937,21.83
365,1.184776306,21.5
366,1.178198338,17.17
367,1.171482921,18.28
368,1.164651871,17.5
369,1.157726407,8.94
370,1.150727272,6.67
371,1.143674374,12.72
372,1.136586666,13.83
373,1.129482269,15.72
374,1.122378588,14.94
375,1.115292072,12.89
376,1.108238459,9.33
377,1.101231813,10.17
378,1.094285846,10.94
379,1.087413549,12.44
380,1.080626488,13.06
381,1.073935151,12.83
382,1.067350149,13.17
383,1.060880065,13.11
384,1.054533482,9.5
385,1.048317671,12
386,1.042239666,14.56
387,1.036304951,12.61
388,1.030519724,12.83
389,1.024888039,14.78
390,1.019414425,15.44
391,1.01410234,15.61
392,1.00895524,16.56
393,1.00397563,17.5
394,0.999166131,9.72
395,0.994528711,8.33
396,0.990065217,10.5
397,0.985776961,2.56
398,0.981665552,2.83
399,0.977731824,10.67
400,0.973977089,14.11
401,0.970402002,9.39
402,0.96700716,9.56
403,0.963793755,6.11
404,0.960762024,7.78
405,0.957912564,6.39
406,0.955246449,9.17
407,0.952763855,7.83
408,0.950465083,-2.89
409,0.948351145,-5.56
410,0.946422398,-4.78
411,0.94467926,-5.89
412,0.943122387,-3.67
413,0.941752076,-6.22
414,0.940569043,-9.39
415,0.939573169,-7.67
416,0.938765168,-3.44
417,0.938145041,-5.28
418,0.937712789,-1.44
419,0.937468529,8.94
420,0.937411904,9.44
421,0.937542796,-2.11
422,0.937860668,-2.5
423,0.938364267,-1.28
424,0.939052701,-10.61
425,0.939924955,-0.28
426,0.940979123,7.94
427,0.942213178,-5.5
428,0.943625093,-9.94
429,0.945211709,-4.44
430,0.946970224,-1.44
431,0.948896825,-0.72
432,0.95098716,2.06
433,0.953237116,1.94
434,0.955641448,1.44
435,0.958194494,3.28
436,0.960889578,-2.06
437,0.963720262,-0.5
438,0.966679215,0.89
439,0.969758093,4.72
440,0.972948313,9.83
441,0.976240456,12.33
442,0.97962451,9.94
443,0.983090341,-3
444,0.986626208,-6.11
445,0.990220428,-2.94
446,0.993860722,-0.72
447,0.997534037,1.11
448,1.001226425,4.89
449,1.004924417,4.72
450,1.008613348,2.94
451,1.01227808,1.11
452,1.015903592,4.28
453,1.01947403,1.56
454,1.022973299,-1.56
455,1.026385307,-3.61
456,1.0296942,-5.44
457,1.032883167,-14.28
458,1.035935879,-9.39
459,1.038836122,-4.5
460,1.041567445,-2.11
461,1.044113874,0.17
462,1.046459556,-13.06
463,1.048588753,-13.06
464,1.050486803,-12.89
465,1.052137971,-18.22
466,1.053528666,-10.17
467,1.054645061,-13.56
468,1.055473566,-8
469,1.056001663,-4.39
470,1.056217194,-11.5
471,1.056108832,-12.67
472,1.055665731,-4.94
473,1.054878354,-0.94
474,1.053736687,3.89
475,1.052232742,6.22
476,1.05035913,3.33
477,1.048108578,2.33
478,1.045474768,3.83
479,1.042453289,1.11
480,1.039039731,-1.28
481,1.035231352,0.56
482,1.03102541,4.67
483,1.026421547,2.28
484,1.021419525,4.5
485,1.016021252,2.67
486,1.010229349,3.22
487,1.004048228,1.28
488,0.997483492,-3.17
489,0.990543008,1.89
490,0.983235598,-3.67
491,0.975572228,-13.5
492,0.967565596,-8.78
493,0.95923084,-9.39
494,0.950584054,-14.44
495,0.941644549,-2.11
496,0.932432592,3.11
497,0.922970533,2.89
498,0.913283408,0.17
499,0.903397024,-0.56
500,0.893339574,-2.89
501,0.883140028,-12.5
502,0.872829199,-2.83
503,0.862438917,-8.61
504,0.852001548,-12.56
505,0.841549516,-6.44
506,0.831116199,-7.78
507,0.820734382,-14.33
508,0.810436606,-13.17
509,0.800254107,-2.72
510,0.790217757,-2.56
511,0.780356109,-12.78
512,0.770697534,-12.89
513,0.761267126,-2.44
514,0.752088368,-5.5
515,0.743183076,-14.22
516,0.734569669,-15.28
517,0.72626555,-8.39
518,0.718284786,-3.56
519,0.710639,-3.17
520,0.703338385,-1
521,0.696389496,-7.78
522,0.689797938,-10.78
523,0.683566809,2.89
524,0.677697361,6.06
525,0.67218852,6.56
526,0.667038858,6.94
527,0.662244141,11.17
528,0.657800198,10.83
529,0.653700769,12.83
530,0.649938822,13.83
531,0.646507263,10.5
532,0.643397748,13.72
533,0.640601397,18.44
534,0.638109446,5.94
535,0.635912538,7.39
536,0.634001315,5.44
537,0.632366359,9.22
538,0.630998433,8.72
539,0.629888058,8.89
540,0.629026413,2.44
541,0.628404498,1.28
542,0.628014088,4
543,0.627846718,3.33
544,0.6278947,1.56
545,0.628150403,4.67
546,0.628607035,9.33
547,0.629257441,13.94
548,0.630095601,16.06
549,0.631115556,19.78
550,0.632311702,15.33
551,0.633678555,5.83
552,0.635211647,10.5
553,0.636906028,14.33
554,0.638757467,12.61
555,0.640761912,10.22
556,0.642915428,9.44
557,0.645214438,9.44
558,0.64765507,8.89
559,0.650234044,13.94
560,0.652948081,16.33
561,0.655793726,14.06
562,0.658767462,14.33
563,0.661866069,16.56
564,0.66508621,18.17
565,0.66842407,20.17
566,0.671876252,18.11
567,0.675438821,13.83
568,0.679108262,8.72
569,0.682880163,8.44
570,0.686750591,7.89
571,0.690715134,10.61
572,0.694769502,11.89
573,0.698909044,9.33
574,0.703128874,12.06
575,0.707424402,13.67
576,0.711790264,16.56
577,0.71622175,16.5
578,0.720713675,16.5
579,0.725260675,15.17
580,0.729857683,16.33
581,0.734499216,22.22
582,0.739180088,19.17
583,0.743894935,19.33
584,0.748638749,21.56
585,0.753405929,22.06
586,0.758191586,16.78
587,0.762990654,17.94
588,0.767798007,19.06
589,0.772608995,10.22
590,0.777418733,13.78
591,0.782222271,16.28
592,0.787015557,15.61
593,0.791794062,18.22
594,0.796553254,21.39
595,0.801289201,20.5
596,0.805997849,10.39
597,0.810675442,10
598,0.815318286,9.11
599,0.819922626,15.56
600,0.824485362,18.06
601,0.829003274,19
602,0.833473027,18.44
603,0.83789134,20.5
604,0.84225601,17.78
605,0.846563995,20.94
606,0.850812376,21.06
607,0.854999363,20.78
608,0.859121919,15.11
609,0.863178372,15.78
610,0.867166281,17.06
611,0.871083677,17.72
612,0.874928892,20.61
613,0.878700197,22.89
614,0.882395804,25.06
615,0.886014163,22.22
616,0.889554203,24.11
617,0.893014491,24.44
618,0.896394134,27.78
619,0.89969182,27.83
620,0.902907073,21.72
621,0.906039417,19.06
622,0.909088016,20.89
623,0.912052333,23.94
624,0.914933026,21.39
625,0.917729557,22.22
626,0.920442522,24.83
627,0.923072159,22.28
628,0.925619423,22.83
629,0.928085327,25.44
630,0.930471063,25.67
631,0.93277818,26.17
632,0.935008645,23
633,0.937164426,21.11
634,0.939248204,21.83
635,0.94126296,22
636,0.943211734,22.78
637,0.945098162,22.83
638,0.946926832,23.89
639,0.948702097,23.56
640,0.950428486,21.39
641,0.952112198,18.33
642,0.953758955,21.28
643,0.955375552,22.67
644,0.956968784,24.94
645,0.958546281,23.78
646,0.960116506,19.61
647,0.961688459,18.39
648,0.963271081,21.28
649,0.964874387,22.94
650,0.966508865,24.06
651,0.96818614,28.11
652,0.969917059,30.11
653,0.97171396,28.06
654,0.97358954,24.44
655,0.975556731,24.44
656,0.977628291,29.72
657,0.979818285,28.72
658,0.982140303,25.67
659,0.984608471,24.89
660,0.987236261,22.83
661,0.990037143,22.56
662,0.993024766,24.83
663,0.996212006,26.33
664,0.99961102,26.78
665,1.003233433,25.72
666,1.007090211,24.33
667,1.011190057,24.44
668,1.015541077,24.78
669,1.020149946,25.17
670,1.025020957,26.39
671,1.030157089,26.17
672,1.035558462,27.06
673,1.041222811,24.22
674,1.047145963,22.78
675,1.053320885,23.5
676,1.059737444,24.28
677,1.066382647,26.28
678,1.073241234,25.17
679,1.08029449,25
680,1.087521315,23.28
681,1.094897985,23.78
682,1.102398157,24.33
683,1.109993458,25
684,1.117653489,26.61
685,1.125346661,26.11
686,1.133040071,25.61
687,1.140699983,23.5
688,1.148291945,19.94
689,1.15578258,16.11
690,1.16313827,20.11
691,1.170326591,22.44
692,1.177316785,23.33
693,1.184079528,18.06
694,1.190587878,18
695,1.196816683,18.61
696,1.202744365,18.89
697,1.208351374,19.39
698,1.213621378,20.78
699,1.218540668,20.11
700,1.223098874,19.33
701,1.227288246,25.22
702,1.231103659,26.33
703,1.234542489,25.83
704,1.237605095,27.17
705,1.240293622,27.39
706,1.242612481,28.06
707,1.244567394,26.72
708,1.246165872,24.89
709,1.247416735,24.11
710,1.248329997,22.78
711,1.248915911,23.39
712,1.249186039,16.61
713,1.249151707,15.33
714,1.248825788,17.33
715,1.248219252,22.39
716,1.247345328,23.89
717,1.24621582,25
718,1.244842768,24.83
719,1.243237972,17.22
720,1.241413116,15.39
721,1.239379525,17.28
722,1.237148523,19.78
723,1.234730959,23.06
724,1.232137442,22.11
725,1.229377985,22.33
726,1.226463556,21.5
727,1.223403454,21.22
728,1.22020793,20.78
729,1.216886401,22.39
