Day,Beta,temp
228,0.858581305,8.06
229,0.860574007,7.56
230,0.862576962,7.78
231,0.864588261,10.44
232,0.866606116,14.44
233,0.868628502,20.28
234,0.870653868,20.39
235,0.872680247,18.94
236,0.874705911,17.5
237,0.876729429,17.83
238,0.878749013,20
239,0.880763173,22.06
240,0.88277024,23.89
241,0.884768963,23.33
242,0.886757791,22.33
243,0.888735771,23.33
244,0.890701294,23.39
245,0.892653108,23.33
246,0.894590139,21.89
247,0.896511495,22.39
248,0.898415983,19.44
249,0.900302649,18.72
250,0.902170718,20.5
251,0.904019356,21.67
252,0.905847728,18.89
253,0.907655299,19.72
254,0.909441233,19.11
255,0.911205292,19.33
256,0.912946701,20.33
257,0.914665222,19.06
258,0.916360497,17.78
259,0.918032289,21.33
260,0.919680357,24.22
261,0.921304643,26.61
262,0.922905326,24.61
263,0.924482107,23.28
264,0.926035404,24.17
265,0.927565455,24.5
266,0.929072499,25.56
267,0.930557132,23.56
268,0.93201983,22.17
269,0.933461308,22.06
270,0.934882402,24.39
271,0.936284125,25.33
272,0.937667549,24.39
273,0.939033866,24.61
274,0.940384448,23.11
275,0.941720963,24.56
276,0.943045139,21.78
277,0.944358706,17.61
278,0.945664048,19.78
279,0.946963191,21
280,0.948258758,22.61
281,0.949553311,23.17
282,0.950849831,23.17
283,0.952151299,21.94
284,0.953461051,21.28
285,0.954782367,22.44
286,0.956119061,22.72
287,0.957474887,25.67
288,0.958853662,22.39
289,0.960259557,17.28
290,0.961696982,17.22
291,0.963170052,18.94
292,0.964683354,20
293,0.966241181,18.78
294,0.967848122,21.67
295,0.969508767,23.72
296,0.971227407,25.72
297,0.973008513,22.22
298,0.974856317,19.67
299,0.976774931,19.33
300,0.978768229,23.11
301,0.980839968,22.78
302,0.982993364,18.06
303,0.985231638,17.44
304,0.987557411,19.44
305,0.989973068,21.28
306,0.992480397,21.28
307,0.995080709,21.83
308,0.997775078,22.94
309,1.00056386,22.72
310,1.003446698,22.44
311,1.006423116,22.44
312,1.009491801,21.78
313,1.012650728,21.06
314,1.015897512,23.61
315,1.019229293,24.44
316,1.022642255,22.94
317,1.026132107,18.78
318,1.029694438,23.39
319,1.033323765,21.72
320,1.037014365,17.61
321,1.040759802,19.44
322,1.044553041,22.44
323,1.048387289,23.33
324,1.052254319,23.61
325,1.056146264,22.06
326,1.060054421,25.11
327,1.06396997,25.39
328,1.067883849,25
329,1.071786284,24.78
330,1.075667858,26
331,1.079518676,24.72
332,1.083328962,25.67
333,1.087088346,23.61
334,1.090787411,24.39
335,1.094415903,23.5
336,1.097964406,23.5
337,1.101423502,24.17
338,1.10478425,21.78
339,1.108038187,22.89
340,1.111177087,24.94
341,1.114193559,25.94
342,1.117081165,19.78
343,1.119833589,18.5
344,1.122445822,19.22
345,1.124913454,20.11
346,1.127233267,23.44
347,1.129402518,16.44
348,1.131419897,14.17
349,1.133284807,12.22
350,1.134997368,13.78
351,1.13655901,13.61
352,1.13797164,13.78
353,1.139238477,12.67
354,1.14036262,16.33
355,1.1413486,17.11
356,1.142201185,19.72
357,1.142925501,19.67
358,1.143527389,13.5
359,1.14401269,15.17
360,1.144387484,17.39
361,1.144658327,18.44
362,1.144831181,20.17
363,1.144912362,19.94
364,1.144907951,21.44
365,1.144823909,20.11
366,1.144665599,16
367,1.144438744,16.5
368,1.144148111,20.83
369,1.143798709,16.28
370,1.143394589,7.11
371,1.142940044,9.56
372,1.142438531,11.94
373,1.141893625,12.67
374,1.141308069,12.67
375,1.140685081,11.17
376,1.140026808,10.56
377,1.139335513,10.11
378,1.138613701,12.44
379,1.137862802,18.17
380,1.137084961,16.67
381,1.136281967,12.33
382,1.135455132,13.17
383,1.134606361,11.28
384,1.133737326,9.44
385,1.132849455,8.89
386,1.131944418,12.94
387,1.131023884,10.06
388,1.130089641,8.61
389,1.129143476,8.78
390,1.128187299,11.39
391,1.127223015,16.11
392,1.12625277,13.39
393,1.125278711,18.5
