number,,,temp,,,hum,,,temp
,,time,Max,Avg,Min,Max,Avg,Min,Avg
,,1,75,67.8,63,100,83.6,59,
,,2,64,61.7,58,94,80.5,72,
,,3,67,59.4,53,100,77.9,54,
,,4,73,63.5,52,100,81,55,
,,5,79,69,55,95,58.1,0,
,,6,74,67.5,59,100,85,66,
,,7,75,64.8,55,100,78,50,
,,8,79,68.1,54,100,66.5,35,
,,9,80,69.5,62,100,81.2,52,
,,10,78,68.3,62,100,87.9,58,
,,11,89,75.7,58,100,69.3,0,
,,12,94,84.8,70,100,71.1,44,
,,13,85,74.8,64,100,67.3,26,
,,14,81,71.5,59,100,65.9,38,
,,15,82,71.3,66,100,76.5,0,
,,16,82,73.7,67,100,77.7,0,
,,17,86,70.9,64,100,49.9,0,
,,18,84,74.5,64,90,68.6,48,
,,19,85,74.2,59,87,63.8,38,
,,20,89,79.2,64,93,62.3,39,
,,21,91,80.5,73,91,68.9,48,
,,22,89,78,70,82,72.5,53,
,,23,86,74.9,68,93,77.8,53,
,,24,89,77.3,68,93,77.9,59,
,,25,89,77.8,72,100,79.9,57,
,,26,82,74.9,71,100,91.3,74,
,,27,91,78,72,100,81.5,46,
,,28,86,78.3,69,93,58.8,35,
,,29,74,69,65,93,79.9,68,
,,30,78,67.9,62,94,75.9,54,
,,1,80,70.5,62,72,55.3,39,
,,2,72,66,61,87,72.3,53,
,,3,81,70.3,58,93,65.3,41,
,,4,84,74.6,64,84,61.9,44,
,,5,83,73.6,64,100,72.5,47,
,,6,83,76,66,93,73.4,51,
,,7,91,79.4,67,90,67.5,47,
,,8,87,80.3,77,88,75.1,65,
,,9,92,84.2,77,88,70.1,54,
,,10,87,77.4,68,94,79.6,51,
,,11,82,72.3,63,93,68.6,45,
,,12,82,71,55,93,62.9,34,
,,13,83,73.5,60,93,66.9,47,
,,14,89,76.8,64,93,75.9,48,
,,15,88,81,71,93,74.8,61,
,,16,90,81.6,73,93,72.7,50,
,,17,92,82.9,72,94,73,50,
,,18,93,83.9,73,96,71.4,49,
,,19,94,85.1,76,88,67.9,47,
,,20,89,81,74,91,70.1,49,
,,21,81,74.5,68,100,90.1,74,
,,22,87,76.6,66,100,81,57,
,,23,86,75.5,66,97,74.5,55,
,,24,77,67.5,58,93,68.2,45,
,,25,81,68.8,54,97,67.8,39,
,,26,74,68.1,62,100,89,71,
,,27,69,63.2,55,100,74.1,45,
,,28,75,63,48,97,71.5,43,
,,29,78,66,51,100,72.8,45,
,,30,73,68.3,64,100,92.4,76,
,,31,76,70.9,64,100,93.7,78,
,,1,84,72.7,62,100,76.6,51,
,,2,80,72,66,100,83.2,69,
,,3,82,73.3,65,100,75.7,42,
,,4,80,69.2,57,96,72.5,45,
,,5,77,70.1,59,96,78.2,60,
,,6,84,73.5,67,100,89.1,65,
,,7,85,76.3,69,100,89.9,70,
,,8,81,72.7,67,100,89.4,69,
,,9,83,71.4,59,97,78,51,
,,10,82,73.4,63,96,70,47,
,,11,84,71,54,97,72.8,45,
,,12,81,73.3,64,100,85.3,64,
,,13,77,67.1,55,93,76.3,50,
,,14,76,61.9,48,100,72.8,43,
,,15,75,64.2,52,100,69.8,42,
,,16,78,67.2,57,100,71.3,43,
,,17,79,66.9,54,100,72,44,
,,18,83,70.4,55,96,73.1,47,
,,19,83,66.3,57,100,87,53,
,,20,86,74,62,96,74.2,49,
,,21,87,76.4,66,93,72.9,46,
,,22,87,76.5,67,93,76.2,59,
,,23,86,75.4,65,100,76.5,53,
,,24,86,75.5,63,97,74.1,51,
,,25,87,75.8,63,87,66.8,44,
,,26,90,80.6,71,96,73.5,52,
,,27,91,81.1,73,90,69.8,45,
,,28,92,80.9,70,94,71.6,50,
,,29,89,79.2,72,97,82.2,61,
,,30,94,83,71,96,73.3,52,
,,31,93,83.5,74,94,69.8,54,
,,1,84,74.6,68,100,87.2,56,
,,2,83,71.1,60,93,69.8,47,
,,3,79,64.9,54,100,77.7,45,
,,4,82,66.8,52,100,76,42,
,,5,88,69.8,55,100,74.4,37,
,,6,85,73.3,62,97,71.7,44,
,,7,89,76.5,62,93,68.5,45,
,,8,84,75.7,71,97,83.2,63,
,,9,93,81.5,73,93,74.4,50,
,,10,94,81.4,71,85,66.4,39,
,,11,92,80.2,69,90,66.4,41,
,,12,82,71.1,58,97,72.4,33,
,,13,72,60.9,52,93,63.3,29,
,,14,73,58.1,43,97,66.4,35,
,,15,75,64.2,55,100,76.4,50,
,,16,71,61.4,54,94,77.7,49,
,,17,73,63.7,52,93,71.9,53,
,,18,84,74,63,93,75.8,58,
,,19,91,79.8,70,94,71,47,
,,20,72,66.9,52,96,87.3,70,
,,21,71,59.1,49,97,73,44,
,,22,74,56,44,100,75.1,37,
,,23,75,60.6,48,93,64.8,33,
,,24,78,64.8,51,89,70.8,50,
,,25,83,68.4,55,93,69.1,44,
,,26,83,68.7,56,87,65.4,39,
,,27,83,67.5,53,86,62.2,30,
,,28,83,71.8,58,93,66.6,42,
,,29,73,58.5,47,100,79.9,31,
1,,30,77,59.7,45,100,80.7,42,15.38888889
2,,1,76,69.5,63,100,85.8,71,20.83333333
3,,2,84,71.5,65,100,87.2,53,21.94444444
4,,3,86,72.5,64,94,81.2,48,22.5
5,,4,86,75.9,68,96,77.1,49,24.38888889
6,,5,81,70.5,57,100,84,54,21.38888889
7,,6,56,50.2,46,97,79.2,51,10.11111111
8,,7,71,53.2,44,100,78.3,36,11.77777778
9,,8,77,60.2,45,93,63.9,31,15.66666667
10,,9,74,57.9,44,96,68.7,35,14.38888889
11,,10,79,62.5,48,93,75,43,16.94444444
12,,11,80,67.6,55,97,67.8,39,19.77777778
13,,12,75,64.9,52,90,70.1,42,18.27777778
14,,13,70,52.9,39,97,60,22,11.61111111
15,,14,68,54.7,37,89,59.2,32,12.61111111
16,,15,68,61.1,49,100,85.7,65,16.16666667
17,,16,54,49.2,41,93,75.1,62,9.555555556
18,,17,63,51.5,46,93,71.8,37,10.83333333
19,,18,57,48.1,39,100,74.3,44,8.944444444
20,,19,56,46,39,100,75.2,40,7.777777778
21,,20,69,55.3,38,89,58.3,33,12.94444444
22,,21,56,45.8,30,96,66.2,43,7.666666667
23,,22,48,40.3,29,100,90.3,74,4.611111111
24,,23,46,39.1,32,93,74.3,44,3.944444444
25,,24,43,36.6,26,89,65.2,41,2.555555556
26,,25,53,39.5,22,92,59.5,31,4.166666667
27,,26,61,47.6,33,78,51.3,29,8.666666667
28,,27,57,41.2,26,92,62.4,30,5.111111111
29,,28,64,46.9,31,92,59,29,8.277777778
30,,29,59,51,38,100,85.9,59,10.55555556
31,,30,67,60.8,53,100,97.3,93,16
32,,31,65,57.7,46,100,94.3,88,14.27777778
33,,1,53,47,39,97,81.9,61,8.333333333
34,,2,53,44.5,34,93,74.5,46,6.944444444
35,,3,55,37.9,0,100,52.3,0,3.277777778
36,,4,56,51.7,47,74,63.8,55,10.94444444
37,,5,58,53.9,51,100,86.4,72,12.16666667
38,,6,57,47.9,35,100,92.8,80,8.833333333
39,,7,52,38.3,29,92,72.9,41,3.5
40,,8,52,41.5,26,96,65.7,43,5.277777778
41,,9,66,51.4,41,76,56.8,30,10.77777778
42,,10,50,41.1,33,85,66.4,43,5.055555556
43,,11,56,40,28,96,79.3,57,4.444444444
44,,12,33,25,19,88,73.3,56,-3.888888889
45,,13,42,30.3,17,92,60.7,35,-0.944444444
46,,14,55,41.7,30,64,46,23,5.388888889
47,,15,54,45.1,39,81,63.4,47,7.277777778
48,,16,61,55,46,93,85,75,12.77777778
49,,17,71,60.7,43,94,77.8,52,15.94444444
50,,18,51,41.7,31,93,66.7,35,5.388888889
51,,19,47,35.4,26,88,69,42,1.888888889
52,,20,45,38.2,31,92,77.8,60,3.444444444
53,,21,50,47.4,45,100,91,74,8.555555556
54,,22,44,37,27,93,85.4,73,2.777777778
55,,23,30,24.3,17,89,68.4,54,-4.277777778
56,,24,28,19.2,9,84,63.3,34,-7.111111111
57,,25,34,30.2,25,67,57,50,-1
58,,26,36,28.1,19,85,65.4,44,-2.166666667
59,,27,28,19.6,14,74,57.9,39,-6.888888889
60,,28,41,28.8,18,71,57.6,41,-1.777777778
61,,29,40,28.6,15,85,66.3,43,-1.888888889
62,,30,53,40.3,30,79,63.6,41,4.611111111
63,,1,52,38.3,24,96,72.5,45,3.5
64,,2,48,40.3,32,93,81.8,68,4.611111111
65,,3,54,46.7,41,100,93.5,82,8.166666667
66,,4,61,49.4,38,100,90,77,9.666666667
67,,5,34,25.4,21,79,67.4,60,-3.666666667
68,,6,22,18.1,12,70,61.3,54,-7.722222222
69,,7,23,14.6,8,80,61.6,38,-9.666666667
70,,8,27,23.9,17,100,85.1,62,-4.5
71,,9,25,20.3,14,86,72.5,62,-6.5
72,,10,30,18.5,8,81,64.4,45,-7.5
73,,11,27,18.4,4,85,64.8,42,-7.555555556
74,,12,36,19.3,1,79,56.6,34,-7.055555556
75,,13,39,30.9,20,96,82.8,43,-0.611111111
76,,14,34,31,24,96,90,80,-0.555555556
77,,15,25,20.2,15,89,81.4,75,-6.555555556
78,,16,25,21.2,17,96,89.8,80,-6
79,,17,34,25.4,16,93,84.5,60,-3.666666667
80,,18,39,28.8,9,84,67.2,50,-1.777777778
81,,19,49,43.2,39,86,82.6,76,6.222222222
82,,20,61,46.7,30,100,90.1,81,8.166666667
83,,21,34,31.4,30,100,91.5,86,-0.333333333
84,,22,34,29.9,22,96,89.3,80,-1.166666667
85,,23,21,16.1,6,86,78.2,67,-8.833333333
86,,24,22,12.4,2,73,64.1,55,-10.88888889
87,,25,31,27.7,22,89,79.2,64,-2.388888889
88,,26,43,31.8,19,89,73.2,53,-0.111111111
89,,27,48,37.2,26,84,68.3,50,2.888888889
90,,28,54,42.8,36,73,61.2,41,6
91,,29,37,24.7,9,89,79.2,73,-4.055555556
92,,30,22,12.1,2,80,61.5,47,-11.05555556
93,,31,33,24.4,16,88,67.5,54,-4.222222222
94,2014,1,31,23.5,19,93,85.9,69,-4.722222222
95,,2,20,14.4,1,88,76.8,63,-9.777777778
96,,3,22,10.5,-5,87,74.4,65,-11.94444444
97,,4,37,30.6,22,93,69.7,59,-0.777777778
98,,5,26,14.9,-2,93,81.1,60,-9.5
99,,6,-2,-7.7,-13,84,62.6,55,-22.05555556
100,,7,14,3.3,-9,83,66.1,56,-15.94444444
101,,8,18,13.3,4,84,74.5,65,-10.38888889
102,,9,32,23.4,15,100,86.5,74,-4.777777778
103,,10,42,36.7,32,100,94.1,0,2.611111111
104,,11,42,37.3,30,100,98.4,74,2.944444444
105,,12,48,38.5,25,100,88.7,60,3.611111111
106,,13,50,40.7,29,100,74.9,46,4.833333333
107,,14,41,33.3,26,93,72.8,57,0.722222222
108,,15,26,22.4,18,74,65.4,57,-5.333333333
109,,16,42,30.6,20,86,71.3,55,-0.777777778
110,,17,18,14.6,10,77,65.7,57,-9.666666667
111,,18,36,26.4,12,89,77.9,53,-3.111111111
112,,19,45,31.6,18,81,65.9,47,-0.222222222
113,,20,44,36.3,30,92,74.6,53,2.388888889
114,,21,28,13.5,5,86,74.1,54,-10.27777778
115,,22,25,15.4,4,71,64.3,59,-9.222222222
116,,23,10,2.9,-2,75,61.5,51,-16.16666667
117,,24,35,19,0,69,51.1,35,-7.222222222
118,,25,37,29.6,15,82,53.6,30,-1.333333333
119,,26,49,35.6,17,70,51.6,34,2
120,,27,12,6.3,-1,66,51.8,39,-14.27777778
121,,28,16,5.7,-5,76,56.7,36,-14.61111111
122,,29,32,20.2,6,64,45.2,28,-6.555555556
123,,30,40,31.5,23,69,48.7,27,-0.277777778
124,,31,26,23.4,21,86,79.7,66,-4.777777778
125,,1,34,30.2,26,93,88.6,80,-1
126,,2,25,16.2,2,88,80,73,-8.777777778
127,,3,22,9.7,-4,84,73.4,57,-12.38888889
128,,4,23,19.9,13,93,83.2,72,-6.722222222
129,,5,23,18.6,6,86,77.7,67,-7.444444444
130,,6,7,0.8,-5,76,68.6,55,-17.33333333
131,,7,13,4.5,-9,79,65.3,53,-15.27777778
132,,8,23,18.3,12,82,74.7,68,-7.611111111
133,,9,24,19.1,6,86,73,60,-7.166666667
134,,10,11,2.6,-7,75,63.1,47,-16.33333333
135,,11,15,3.3,-10,79,65.6,43,-15.94444444
136,,12,28,12.8,-1,84,64.6,39,-10.66666667
137,,13,39,24.5,5,84,68.5,51,-4.166666667
138,,14,26,18.9,7,86,76,58,-7.277777778
139,,15,25,13.6,-5,86,76.1,62,-10.22222222
140,,16,27,24.1,19,81,71.3,64,-4.388888889
141,,17,38,30,21,93,84.2,70,-1.111111111
142,,18,48,39.5,30,76,62,44,4.166666667
143,,19,44,38,32,82,71,55,3.333333333
144,,20,63,46.5,36,93,79.1,64,8.055555556
145,,21,47,38.6,32,73,58,44,3.666666667
146,,22,47,36.9,27,89,72.4,49,2.722222222
147,,23,33,26.9,23,72,59.6,47,-2.833333333
148,,24,28,24.9,21,68,59.4,47,-3.944444444
149,,25,25,20.6,13,86,74.6,52,-6.333333333
150,,26,23,14.4,3,70,55.2,39,-9.777777778
151,,27,24,16,11,67,46,27,-8.888888889
