REGION,YEAR,WEEK,ILITOTAL
South Dakota,2017,44,193
South Dakota,2017,45,244
South Dakota,2017,46,305
South Dakota,2017,47,198
South Dakota,2017,48,230
South Dakota,2017,49,220
South Dakota,2017,50,209
South Dakota,2017,51,277
South Dakota,2017,52,302
South Dakota,2018,1,295
South Dakota,2018,2,368
South Dakota,2018,3,474
South Dakota,2018,4,545
South Dakota,2018,5,649
South Dakota,2018,6,549
South Dakota,2018,7,548
South Dakota,2018,8,426
South Dakota,2018,9,437
South Dakota,2018,10,334
South Dakota,2018,11,360
South Dakota,2018,12,312
South Dakota,2018,13,264
South Dakota,2018,14,108
South Dakota,2018,15,256
South Dakota,2018,16,66
South Dakota,2018,17,84
South Dakota,2018,18,64
South Dakota,2018,19,42
South Dakota,2018,20,53
South Dakota,2018,21,54
South Dakota,2018,22,32
South Dakota,2018,23,28
South Dakota,2018,24,37
South Dakota,2018,25,30
South Dakota,2018,26,39
South Dakota,2018,27,33
South Dakota,2018,28,21
South Dakota,2018,29,27
South Dakota,2018,30,40
South Dakota,2018,31,18
South Dakota,2018,32,31
South Dakota,2018,33,32
South Dakota,2018,34,42
South Dakota,2018,35,45
South Dakota,2018,36,55
South Dakota,2018,37,64
South Dakota,2018,38,52
South Dakota,2018,39,79
South Dakota,2018,40,147
South Dakota,2018,41,126
South Dakota,2018,42,142
South Dakota,2018,43,141
South Dakota,2018,44,161
South Dakota,2018,45,152
South Dakota,2018,46,72
South Dakota,2018,47,157
South Dakota,2018,48,186
South Dakota,2018,49,164
South Dakota,2018,50,85
South Dakota,2018,51,96
South Dakota,2018,52,122
South Dakota,2019,1,162
South Dakota,2019,2,220
South Dakota,2019,3,293
South Dakota,2019,4,398
South Dakota,2019,5,414
South Dakota,2019,6,396
South Dakota,2019,7,455
South Dakota,2019,8,478
South Dakota,2019,9,361
South Dakota,2019,10,477
South Dakota,2019,11,303
South Dakota,2019,12,239
South Dakota,2019,13,233
South Dakota,2019,14,202
South Dakota,2019,15,120
South Dakota,2019,16,144
South Dakota,2019,17,119
South Dakota,2019,18,97
South Dakota,2019,19,104
South Dakota,2019,20,82
South Dakota,2019,21,111
South Dakota,2019,22,0
South Dakota,2019,23,106
South Dakota,2019,24,62
South Dakota,2019,25,66
South Dakota,2019,26,70
South Dakota,2019,27,49
South Dakota,2019,28,56
South Dakota,2019,29,61
South Dakota,2019,30,54
South Dakota,2019,31,64
South Dakota,2019,32,55
South Dakota,2019,33,56
South Dakota,2019,34,52
South Dakota,2019,35,85
South Dakota,2019,36,105
South Dakota,2019,37,94
South Dakota,2019,38,49
South Dakota,2019,39,120
